seed,dimension,p,k,Ns,time,solution,termination,ncalls
1,50,50,25.0,0.1,2.63,-222.7156054633275,OPTIMAL,4
1,50,50,25.0,1.0,28.724,-817.6416575460379,OPTIMAL,295
1,50,50,25.0,5.0,14.916,-601.4079555133303,OPTIMAL,133
1,50,50,25.0,10.0,14.447,-534.5650566964625,OPTIMAL,116
2,50,50,25.0,0.1,0.02,-302.01535887823866,OPTIMAL,4
2,50,50,25.0,1.0,30.139,-1089.8195062758468,OPTIMAL,316
2,50,50,25.0,5.0,11.031,-799.3142630280256,OPTIMAL,105
2,50,50,25.0,10.0,14.673,-833.0086184042997,OPTIMAL,101
3,50,50,25.0,0.1,0.019,-853.8272777602954,OPTIMAL,4
3,50,50,25.0,1.0,7.098,-2868.473855031596,OPTIMAL,65
3,50,50,25.0,5.0,10.876,-1897.747076889649,OPTIMAL,90
3,50,50,25.0,10.0,5.491,-1850.7434014773896,OPTIMAL,60
4,50,50,25.0,0.1,0.024,-773.7579916614262,OPTIMAL,4
4,50,50,25.0,1.0,44.355,-2673.7038740269327,OPTIMAL,444
4,50,50,25.0,5.0,10.951,-1745.7362015036924,OPTIMAL,111
4,50,50,25.0,10.0,14.55,-1925.6024525443875,OPTIMAL,107
5,50,50,25.0,0.1,0.019,-37.879343832756625,OPTIMAL,4
5,50,50,25.0,1.0,1802.581,-100.1894818599322,Time limit reached,61265
5,50,50,25.0,5.0,9.898,-65.75838397873022,OPTIMAL,144
5,50,50,25.0,10.0,12.326,-55.137675048381524,OPTIMAL,102
6,50,50,25.0,0.1,0.018,-101.22956851891348,OPTIMAL,4
6,50,50,25.0,1.0,40.38,-447.9136625554364,OPTIMAL,1146
6,50,50,25.0,5.0,9.456,-341.50549163876883,OPTIMAL,188
6,50,50,25.0,10.0,12.793,-342.7833359448448,OPTIMAL,198
7,50,50,25.0,0.1,0.04,-541.6138774625181,OPTIMAL,4
7,50,50,25.0,1.0,38.23,-1805.0323988130463,OPTIMAL,370
7,50,50,25.0,5.0,9.255,-1168.2271316595854,OPTIMAL,83
7,50,50,25.0,10.0,9.306,-1203.3672381567078,OPTIMAL,85
8,50,50,25.0,0.1,0.017,-511.98607096648544,OPTIMAL,4
8,50,50,25.0,1.0,38.818,-2260.2811511232785,OPTIMAL,514
8,50,50,25.0,5.0,9.504,-1594.0510966893507,OPTIMAL,131
8,50,50,25.0,10.0,8.031,-1639.982283797587,OPTIMAL,56
9,50,50,25.0,0.1,0.018,-102.22410050053469,OPTIMAL,4
9,50,50,25.0,1.0,388.89,-242.66414720579655,OPTIMAL,7567
9,50,50,25.0,5.0,9.39,-153.72475837451884,OPTIMAL,100
