seed,num_v,time,number_nodes,solution,termination
1,4,8361.0,383,-12.113849351830055,Optimal
2,4,1506.0,139,-13.738233072526858,Optimal
3,4,2593.0,231,-17.107982954490794,Optimal
1,5,6620.0,755,-16.02479938013031,Optimal
2,5,4258.0,439,-16.77092484925972,Optimal
3,5,33415.0,2755,-6.397104339626162,Optimal
1,6,110610.0,9299,-5.929928170323111,Optimal
2,6,3742.0,363,-18.57745066412525,Optimal
3,6,87938.0,9871,-19.769166010137525,Optimal
1,7,5724.0,707,-8.400099809964301,Optimal
2,7,12175.0,1267,-13.867058547213249,Optimal
3,7,193838.0,25683,2.819769402709074,Optimal
1,8,944659.0,66143,-2.737297978007971,Optimal
2,8,16360.0,1875,-7.22104327477013,Optimal
3,8,76368.0,7407,-13.018315308318453,Optimal
