seed,n0,m0,M,time,solution,termination,calls
1,5,50,20.0,1800.000383,12.685093954334883,TIME_LIMIT,106651
2,5,50,20.0,1800.00159,16.96919735677573,TIME_LIMIT,106666
3,5,50,20.0,1800.006561,16.307852254427125,TIME_LIMIT,106541
4,5,50,20.0,1800.004166,20.790861160754005,TIME_LIMIT,106505
5,5,50,20.0,1800.00951,16.35022420425263,TIME_LIMIT,106422
6,5,50,20.0,1800.000446,18.703006426411136,TIME_LIMIT,106288
7,5,50,20.0,1800.01976,16.82804227719518,TIME_LIMIT,105898
8,5,50,20.0,1800.022377,17.06677382177014,TIME_LIMIT,106335
9,5,50,20.0,1800.018812,16.501357869222335,TIME_LIMIT,104555
10,5,50,20.0,1800.001063,16.87298603770243,TIME_LIMIT,105602
1,6,60,20.0,1800.020026,18.14469839759452,TIME_LIMIT,98247
2,6,60,20.0,1800.019377,17.537760737934384,TIME_LIMIT,97545
3,6,60,20.0,1800.007856,19.932362968937245,TIME_LIMIT,98460
4,6,60,20.0,1800.0036,23.257808230135876,TIME_LIMIT,122635
5,6,60,20.0,1800.01559,19.553554683084517,TIME_LIMIT,99213
6,6,60,20.0,1800.003551,20.430683912166213,TIME_LIMIT,100146
7,6,60,20.0,1800.,INF,TIME_LIMIT,INF
8,6,60,20.0,1800.,INF,TIME_LIMIT,INF
9,6,60,20.0,1800.,INF,TIME_LIMIT,INF
10,6,60,20.0,1800.,INF,TIME_LIMIT,INF
1,7,70,20.0,1800.,INF,TIME_LIMIT,INF
2,7,70,20.0,1800.,INF,TIME_LIMIT,INF
3,7,70,20.0,1800.,INF,TIME_LIMIT,INF
4,7,70,20.0,1800.,INF,TIME_LIMIT,INF
5,7,70,20.0,1800.,INF,TIME_LIMIT,INF
6,7,70,20.0,1800.,INF,TIME_LIMIT,INF
7,7,70,20.0,1800.,INF,TIME_LIMIT,INF
8,7,70,20.0,1800.,INF,TIME_LIMIT,INF
9,7,70,20.0,1800.,INF,TIME_LIMIT,INF
10,7,70,20.0,1800.,INF,TIME_LIMIT,INF
1,8,80,20.0,1800.,INF,TIME_LIMIT,INF
2,8,80,20.0,1800.,INF,TIME_LIMIT,INF
3,8,80,20.0,1800.,INF,TIME_LIMIT,INF
4,8,80,20.0,1800.,INF,TIME_LIMIT,INF
5,8,80,20.0,1800.,INF,TIME_LIMIT,INF
6,8,80,20.0,1800.,INF,TIME_LIMIT,INF
7,8,80,20.0,1800.,INF,TIME_LIMIT,INF
8,8,80,20.0,1800.,INF,TIME_LIMIT,INF
9,8,80,20.0,1800.,INF,TIME_LIMIT,INF
10,8,80,20.0,1800.,INF,TIME_LIMIT,INF
1,9,90,20.0,1800.,INF,TIME_LIMIT,INF
2,9,90,20.0,1800.,INF,TIME_LIMIT,INF
3,9,90,20.0,1800.,INF,TIME_LIMIT,INF
4,9,90,20.0,1800.,INF,TIME_LIMIT,INF
5,9,90,20.0,1800.,INF,TIME_LIMIT,INF
6,9,90,20.0,1800.,INF,TIME_LIMIT,INF
7,9,90,20.0,1800.,INF,TIME_LIMIT,INF
8,9,90,20.0,1800.,INF,TIME_LIMIT,INF
9,9,90,20.0,1800.,INF,TIME_LIMIT,INF
10,9,90,20.0,1800.,INF,TIME_LIMIT,INF
1,10,100,20.0,1800.,INF,TIME_LIMIT,INF
2,10,100,20.0,1800.,INF,TIME_LIMIT,INF
3,10,100,20.0,1800.,INF,TIME_LIMIT,INF
4,10,100,20.0,1800.,INF,TIME_LIMIT,INF
5,10,100,20.0,1800.,INF,TIME_LIMIT,INF
6,10,100,20.0,1800.,INF,TIME_LIMIT,INF
7,10,100,20.0,1800.,INF,TIME_LIMIT,INF
8,10,100,20.0,1800.,INF,TIME_LIMIT,INF
9,10,100,20.0,1800.,INF,TIME_LIMIT,INF
10,10,100,20.0,1800.,INF,TIME_LIMIT,INF
1,11,110,20.0,1800.,INF,TIME_LIMIT,INF
2,11,110,20.0,1800.,INF,TIME_LIMIT,INF
3,11,110,20.0,1800.,INF,TIME_LIMIT,INF
4,11,110,20.0,1800.,INF,TIME_LIMIT,INF
5,11,110,20.0,1800.,INF,TIME_LIMIT,INF
6,11,110,20.0,1800.,INF,TIME_LIMIT,INF
7,11,110,20.0,1800.,INF,TIME_LIMIT,INF
8,11,110,20.0,1800.,INF,TIME_LIMIT,INF
9,11,110,20.0,1800.,INF,TIME_LIMIT,INF
10,11,110,20.0,1800.,INF,TIME_LIMIT,INF
1,12,120,20.0,1800.,INF,TIME_LIMIT,INF
2,12,120,20.0,1800.,INF,TIME_LIMIT,INF
3,12,120,20.0,1800.,INF,TIME_LIMIT,INF
4,12,120,20.0,1800.,INF,TIME_LIMIT,INF
5,12,120,20.0,1800.,INF,TIME_LIMIT,INF
6,12,120,20.0,1800.,INF,TIME_LIMIT,INF
7,12,120,20.0,1800.,INF,TIME_LIMIT,INF
8,12,120,20.0,1800.,INF,TIME_LIMIT,INF
9,12,120,20.0,1800.,INF,TIME_LIMIT,INF
10,12,120,20.0,1800.,INF,TIME_LIMIT,INF
1,13,130,20.0,1800.,INF,TIME_LIMIT,INF
2,13,130,20.0,1800.,INF,TIME_LIMIT,INF
3,13,130,20.0,1800.,INF,TIME_LIMIT,INF
4,13,130,20.0,1800.,INF,TIME_LIMIT,INF
5,13,130,20.0,1800.,INF,TIME_LIMIT,INF
6,13,130,20.0,1800.,INF,TIME_LIMIT,INF
7,13,130,20.0,1800.,INF,TIME_LIMIT,INF
8,13,130,20.0,1800.,INF,TIME_LIMIT,INF
9,13,130,20.0,1800.,INF,TIME_LIMIT,INF
10,13,130,20.0,1800.,INF,TIME_LIMIT,INF
1,14,140,20.0,1800.,INF,TIME_LIMIT,INF
2,14,140,20.0,1800.,INF,TIME_LIMIT,INF
3,14,140,20.0,1800.,INF,TIME_LIMIT,INF
4,14,140,20.0,1800.,INF,TIME_LIMIT,INF
5,14,140,20.0,1800.,INF,TIME_LIMIT,INF
6,14,140,20.0,1800.,INF,TIME_LIMIT,INF
