seed,dimension,var_A,M,time,solution,termination,ncalls
1,10,1,0.1,0.446,0.4839787794388131,OPTIMAL,27
1,10,5,0.1,941.362,0.11922551715862784,OPTIMAL,81692
1,10,1,1.0,4.843,0.4833375449435055,OPTIMAL,1113
1,10,5,1.0,1814.284,0.11922551715863781,Time limit reached,709718
2,10,1,0.1,1.811,0.6202681730603569,OPTIMAL,184
2,10,5,0.1,74.13,0.2506403354067891,OPTIMAL,8156
2,10,1,1.0,3.199,0.6202681730603979,OPTIMAL,701
2,10,5,1.0,611.535,0.2506403360315216,OPTIMAL,238247
3,10,1,0.1,2.315,0.6177061922885712,OPTIMAL,228
3,10,5,0.1,97.468,0.25014774592436784,OPTIMAL,9093
3,10,1,1.0,3.009,0.6177061922885632,OPTIMAL,660
3,10,5,1.0,217.17,0.2501477459243764,OPTIMAL,81086
4,10,1,0.1,1.748,0.6105890503771472,OPTIMAL,167
4,10,5,0.1,95.121,0.24027744972299334,OPTIMAL,10147
4,10,1,1.0,0.722,0.6105890503771372,OPTIMAL,52
4,10,5,1.0,1810.436,0.24027744972298654,Time limit reached,639648
5,10,1,0.1,1.705,0.6051447637018624,OPTIMAL,159
5,10,5,0.1,254.261,0.22507443416258138,OPTIMAL,54827
5,10,1,1.0,2.996,0.6051447637018539,OPTIMAL,660
5,10,5,1.0,1816.248,0.22507443569886454,Time limit reached,709415
1,15,1,0.1,9.487,0.5636770554553597,OPTIMAL,569
1,15,5,0.1,403.925,0.18277872952962687,OPTIMAL,28171
1,15,1,1.0,4.445,0.5636770554553544,OPTIMAL,603
1,15,5,1.0,390.933,0.1827787295296217,OPTIMAL,77670
2,15,1,0.1,7.339,0.6274398534232137,OPTIMAL,394
2,15,5,0.1,134.78,0.26310590470036016,OPTIMAL,8152
2,15,1,1.0,2.71,0.627439853423215,OPTIMAL,335
2,15,5,1.0,1819.616,0.26310590747060225,Time limit reached,430149
3,15,1,0.1,5.182,0.6252714289032655,OPTIMAL,311
3,15,5,0.1,154.143,0.26389846403729855,OPTIMAL,17871
3,15,1,1.0,4.631,0.6252714289032576,OPTIMAL,622
3,15,5,1.0,1829.105,0.2638984640372933,Time limit reached,582869
4,15,1,0.1,2.923,0.6340664353316329,OPTIMAL,184
4,15,5,0.1,98.485,0.28085071265848094,OPTIMAL,7168
4,15,1,1.0,2.813,0.6340664353316255,OPTIMAL,340
4,15,5,1.0,131.975,0.2808507126584747,OPTIMAL,30609
5,15,1,0.1,3.054,0.6091351395410676,OPTIMAL,168
5,15,5,0.1,187.169,0.2347666892690487,OPTIMAL,13301
5,15,1,1.0,2.969,0.6091351395410545,OPTIMAL,340
5,15,5,1.0,203.201,0.23476668926905297,OPTIMAL,41664
1,20,1,0.1,7.223,0.6222824804020576,OPTIMAL,312
1,20,5,0.1,172.85,0.2631864298415595,OPTIMAL,8959
1,20,1,1.0,5.061,0.6222824804020535,OPTIMAL,403
1,20,5,1.0,253.398,0.26318642984155866,OPTIMAL,43755
2,20,1,0.1,9.146,0.6316904518198101,OPTIMAL,336
2,20,5,0.1,167.775,0.2878113530274359,OPTIMAL,7715
2,20,1,1.0,6.539,0.6316904518198053,OPTIMAL,552
2,20,5,1.0,223.842,0.28781135302743255,OPTIMAL,36930
3,20,1,0.1,15.408,0.5995010769047809,OPTIMAL,612
3,20,5,0.1,348.624,0.21857209854025544,OPTIMAL,17012
3,20,1,1.0,7.482,0.599501076904769,OPTIMAL,674
3,20,5,1.0,516.789,0.21857209854025506,OPTIMAL,90109
4,20,1,0.1,8.809,0.5951193348725411,OPTIMAL,417
