seed,dimension,M,time,solution,termination,ncalls
1,30,20.0,4.431,-19.701334217049705,OPTIMAL,58
2,30,20.0,4.114,-621.5629090824182,OPTIMAL,65
3,30,20.0,4.015,-714.0766044131303,OPTIMAL,60
1,40,20.0,5.455,-6377.7200684054405,OPTIMAL,44
2,40,20.0,5.531,-329.5514021794312,OPTIMAL,55
3,40,20.0,5.667,-2357.930979901027,primal>tree.incumbent+1e-2,49
1,50,20.0,7.473,-812.5307312913062,OPTIMAL,84
2,50,20.0,7.385,-917.7328372891076,OPTIMAL,75
3,50,20.0,7.461,-364.4223568010698,OPTIMAL,88
1,60,20.0,12.854,-1651.7513848333206,OPTIMAL,1411
2,60,20.0,8.479,-65140.74543286552,OPTIMAL,35
3,60,20.0,7.725,-1829.7858556047292,OPTIMAL,45
1,70,20.0,11.22,-56293.988473301026,OPTIMAL,37
2,70,20.0,11.604,-264.5901971799661,OPTIMAL,97
3,70,20.0,11.203,-166058.34962918144,OPTIMAL,41
1,80,20.0,13.221,-4.277664909072298e6,primal>tree.incumbent+1e-2,40
2,80,20.0,13.545,-8905.758526501946,OPTIMAL,61
3,80,20.0,13.499,-11054.73878137592,OPTIMAL,64
1,90,20.0,15.599,-64864.66861527709,OPTIMAL,22
2,90,20.0,15.52,-14951.889034406113,OPTIMAL,34
1,100,20.0,18.42,-56280.75227520613,OPTIMAL,73
2,110,20.0,5.142,-5.73613169697142e6,OPTIMAL,2
1,120,20.0,23.287,-7.76975485323761e8,OPTIMAL,11
2,150,20.0,33.14,-1.5631839285116818e7,OPTIMAL,55
3,180,20.0,43.791,-5.568405002509973e9,OPTIMAL,61
