seed,dimension,time,num_nodes,solution,termination
1,20,5216.0,77,-2.7886808010956603,Optimal
2,20,87.0,33,-2.802333672624816,Optimal
3,20,311.0,101,-1.0930085078854548,Optimal
4,20,213.0,49,-0.9606330683055678,Optimal
5,20,223.0,71,-0.6133478714558604,Optimal
6,20,104.0,39,0.16297346246823602,Optimal
7,20,94.0,33,-1.8095859945333705,Optimal
8,20,152.0,41,-4.583566405742001,Optimal
9,20,88.0,31,-0.12499673781731563,Optimal
10,20,107.0,35,-0.0654689241188135,Optimal
1,25,118.0,37,-0.05675472196237932,Optimal
2,25,103.0,35,-0.05242254708296364,Optimal
3,25,123.0,43,-0.3257666980146758,Optimal
4,25,137.0,47,-0.03783485352467451,Optimal
5,25,1037.0,343,-8.81157868168202,Optimal
6,25,247.0,81,-3.594603577622084,Optimal
7,25,214.0,71,-8.962461600399386,Optimal
8,25,122.0,37,-0.8643550364001742,Optimal
9,25,431.0,99,-6.706878087227284,Optimal
10,25,138.0,45,-5.913371130655527,Optimal
1,30,203.0,61,-0.20202034192664428,Optimal
2,30,197.0,55,-0.40740965338034163,Optimal
3,30,173.0,55,-0.33476946163721,Optimal
4,30,300.0,91,-12.165865185735562,Optimal
5,30,208.0,67,-0.22151767232669162,Optimal
6,30,283.0,91,-0.6400503888295891,Optimal
7,30,184.0,59,-0.03311456889608641,Optimal
8,30,175.0,53,-0.05118132463921282,Optimal
9,30,187.0,55,0.14911539537777418,Optimal
10,30,1274.0,353,-9.912321747258105,Optimal
1,35,205.0,51,-0.12485151335468178,Optimal
2,35,288.0,77,-18.50951316505786,Optimal
3,35,221.0,55,-0.3413141490849307,Optimal
4,35,224.0,57,-0.2162339253066785,Optimal
5,35,1002.0,241,-1.4762816788776154,Optimal
6,35,409.0,105,-1.4181436549232438,Optimal
7,35,258.0,65,0.2729285723231617,Optimal
8,35,259.0,63,-0.22847673313014752,Optimal
9,35,202.0,47,-0.6529581686676833,Optimal
10,35,273.0,71,-0.34025733507028544,Optimal
1,40,317.0,79,-0.27787309218390155,Optimal
2,40,391.0,101,-13.67099949730039,Optimal
3,40,367.0,95,-0.3340617137709295,Optimal
4,40,349.0,83,-0.8097967279964776,Optimal
5,40,269.0,63,-0.39565768408231833,Optimal
6,40,1527.0,365,-11.590738498571994,Optimal
7,40,279.0,71,-0.1083725258699523,Optimal
8,40,306.0,79,-0.08245600409515319,Optimal
9,40,254.0,63,-0.1979864540563619,Optimal
10,40,2174.0,527,-1.917712715272158,Optimal
1,45,321.0,77,-0.28495673215861284,Optimal
2,45,2740.0,739,-4.8678347202257335,Optimal
3,45,328.0,83,0.6020908450729358,Optimal
4,45,478.0,79,-0.26184990669286556,Optimal
5,45,579.0,137,-0.20318953139537563,Optimal
6,45,348.0,79,-0.33059775702235,Optimal
7,45,981.0,197,-0.7504783365075691,Optimal
8,45,751.0,189,-0.9219770634857034,Optimal
9,45,315.0,79,-0.367553905647641,Optimal
10,45,463.0,115,-0.34880701907963957,Optimal
1,50,347.0,79,-0.19485730282634486,Optimal
2,50,425.0,97,-0.00575533147230875,Optimal
3,50,377.0,85,-0.3203631980906434,Optimal
4,50,364.0,85,-0.12503674044827104,Optimal
5,50,421.0,103,-0.5112772853364564,Optimal
6,50,397.0,95,0.07048849741908429,Optimal
7,50,397.0,93,-0.06416485048022864,Optimal
8,50,333.0,79,-0.36314447296617647,Optimal
9,50,354.0,87,-0.24165131400010617,Optimal
10,50,17340.0,3713,-4.515249527321791,Optimal
1,55,415.0,83,-0.34034171716868095,Optimal
2,55,443.0,87,-0.1708365368175227,Optimal
3,55,509.0,95,-0.3359794136558731,Optimal
4,55,518.0,103,0.08273064120094796,Optimal
5,55,19001.0,1955,-20.45121724148791,Optimal
6,55,434.0,95,-0.08470990189465574,Optimal
7,55,8009.0,951,-2.317540457816215,Optimal
8,55,438.0,91,-0.0809148814451593,Optimal
9,55,405.0,87,-0.492963378436371,Optimal
10,55,453.0,81,-0.4312310349693451,Optimal
1,60,901.0,115,-0.29119923977861845,Optimal
2,60,573.0,107,-0.04599808707273443,Optimal
3,60,25440.0,1763,-2.9885463022415633,Optimal
4,60,629.0,99,-0.21329478570852228,Optimal
5,60,787.0,109,0.008277798359715689,Optimal
6,60,643.0,111,-0.032677335035062476,Optimal
7,60,3085.0,315,-1.837734470221532,Optimal
8,60,600.0,103,-0.3235613530760078,Optimal
9,60,11972.0,1137,-0.9140703635008485,Optimal
10,60,2293.0,227,-0.7023379951890183,Optimal
1,65,923.0,103,-0.36595559705547115,Optimal
2,65,837.0,101,-0.37509104550757905,Optimal
3,65,938.0,115,-0.027474985837757718,Optimal
4,65,47470.0,4291,-12.807314638369826,Optimal
5,65,698.0,107,-0.023075036777508363,Optimal
6,65,9744.0,853,-1.906563084515306,Optimal
7,65,942.0,115,-0.25866758216644226,Optimal
8,65,1212.0,119,-0.3869496705041828,Optimal
9,65,1148.0,113,-0.2429033981246352,Optimal
10,65,907.0,99,-0.5383932223505387,Optimal
1,70,1188.0,115,-0.16823150841051657,Optimal
2,70,1663.0,135,-0.45918802559621125,Optimal
3,70,1329.0,127,-0.19982016287528498,Optimal
4,70,1398.0,123,-0.47266352053328264,Optimal
5,70,6338.0,435,-0.7150660865612715,Optimal
6,70,2031.0,167,-0.7917620960007294,Optimal
7,70,2747.0,211,-1.4012034646274913,Optimal
8,70,30044.0,2299,-5.652374853246901,Optimal
9,70,1310.0,127,-0.17251657198314985,Optimal
10,70,1249.0,129,-0.0434110220273278,Optimal
1,75,1360.0,131,-0.09031217832808734,Optimal
2,75,1265.0,131,0.10906853214099793,Optimal
3,75,1224.0,127,-0.24444705668826877,Optimal
4,75,1419.0,133,-0.12884067802597815,Optimal
5,75,1409.0,135,-0.28627488507461574,Optimal
6,75,8133.0,675,-1.1772183197780355,Optimal
7,75,83750.0,6563,-17.84883190927413,Optimal
8,75,1366.0,131,-0.38481956229432174,Optimal
9,75,1437.0,139,0.022928419106305095,Optimal
10,75,1493.0,131,-0.2781479183371008,Optimal
1,80,1699.0,145,-0.1585362549778981,Optimal
2,80,1613.0,135,-0.048643811329125784,Optimal
3,80,1716.0,139,-0.23313274028268755,Optimal
4,80,1744.0,147,-0.3134340083538771,Optimal
5,80,1626.0,135,-0.2023754299429969,Optimal
6,80,88065.0,6021,-7.667951153312106,Optimal
7,80,1651.0,141,-0.24250089384947268,Optimal
8,80,14271.0,1065,-1.0310256027170905,Optimal
9,80,1641.0,135,-0.4448692897320566,Optimal
10,80,14238.0,963,-42.266429307816246,Optimal
1,85,1911.0,139,-0.4150983097791855,Optimal
2,85,1888.0,145,-0.13549721040631937,Optimal
3,85,2004.0,149,-0.18304096119912197,Optimal
4,85,2750.0,199,-0.8066570896504504,Optimal
5,85,1825.0,163,-0.007899849634252165,Optimal
6,85,1932.0,153,-0.258866984782933,Optimal
7,85,1944.0,145,-0.40972222713892154,Optimal
8,85,1910.0,147,-0.286506698584266,Optimal
9,85,2022.0,153,-0.06058430421454062,Optimal
10,85,1931.0,143,-0.11504137700022907,Optimal
1,90,2488.0,167,-0.7093759577949476,Optimal
2,90,165824.0,10871,-7.526580197176568,Optimal
3,90,119581.0,7087,-1.2172784796851261,Optimal
4,90,2503.0,171,-0.06996318185312798,Optimal
5,90,2671.0,163,-0.4247481380884504,Optimal
6,90,2525.0,167,-0.22414732958068415,Optimal
7,90,2364.0,169,-0.11692748240667614,Optimal
8,90,2526.0,169,0.051784691967878896,Optimal
9,90,2717.0,171,-0.6144753212663254,Optimal
10,90,2313.0,155,-0.12216714324801792,Optimal
1,95,2578.0,151,-0.7662501184298058,Optimal
2,95,3283.0,187,-0.5841788289477939,Optimal
3,95,2913.0,183,-0.034390955073415996,Optimal
4,95,2862.0,179,-0.09867071809660721,Optimal
5,95,2842.0,171,-0.22528920922634557,Optimal
6,95,1.800065e6,108861,Inf,Time limit reached
7,95,376554.0,22099,-8.209207646766346,Optimal
8,95,42305.0,2511,-1.5082847586470014,Optimal
9,95,10340.0,549,-0.8188999567635389,Optimal
10,95,2909.0,179,0.09717682953822808,Optimal
1,100,6309.0,289,-0.8615749469338947,Optimal
2,100,3039.0,179,-0.35432342229782315,Optimal
3,100,1.631226e6,75549,-21.23882006837019,Optimal
4,100,4069.0,191,-0.4464962653951213,Optimal
5,100,3941.0,183,-0.2159507609874531,Optimal
6,100,23063.0,839,-107.86999308342111,Optimal
7,100,3564.0,151,-0.4708184902274658,Optimal
8,100,3993.0,189,-0.05003881973799315,Optimal
9,100,3577.0,163,-0.4004497351279113,Optimal
10,100,4139.0,191,-0.4463690789814664,Optimal
1,105,3858.0,183,-0.06680601482012066,Optimal
2,105,4105.0,183,-0.06683955556543898,Optimal
3,105,3823.0,171,-0.22764405050208214,Optimal
4,105,3843.0,191,-0.2027103525352879,Optimal
5,105,3560.0,171,-0.3401734526396664,Optimal
6,105,3845.0,191,-0.35860280389699584,Optimal
7,105,3701.0,179,0.006804504473437788,Optimal
8,105,4058.0,195,-0.035361151533442214,Optimal
9,105,3735.0,187,-0.27835714844458215,Optimal
10,105,4034.0,199,0.10705702509173692,Optimal
1,110,4282.0,203,-0.31664448909927106,Optimal
2,110,4239.0,197,-0.36321512131932054,Optimal
3,110,1.800018e6,81249,Inf,Time limit reached
4,110,3811.0,195,-0.6985395333477874,Optimal
5,110,4328.0,203,-0.41554330155848956,Optimal
6,110,4375.0,215,-0.3520663180175807,Optimal
7,110,4414.0,201,-0.13170277045991294,Optimal
8,110,4342.0,183,-0.4073190614334321,Optimal
9,110,4127.0,199,-0.40558155544198776,Optimal
10,110,3980.0,199,-0.3928180699523742,Optimal
1,115,4287.0,203,-0.514657404123949,Optimal
2,115,3756.0,167,-0.872112516541361,Optimal
3,115,4292.0,199,-0.038484467217488584,Optimal
4,115,4575.0,221,0.05005116721335434,Optimal
5,115,4299.0,207,-0.49515451204410876,Optimal
6,115,4351.0,211,-0.42581953775738146,Optimal
7,115,4186.0,203,-0.062238821371574604,Optimal
8,115,4374.0,203,-0.28741029974008137,Optimal
9,115,4196.0,199,-0.29124936551917147,Optimal
10,115,1.800003e6,73963,Inf,Time limit reached
1,120,4913.0,215,-0.05299435188281498,Optimal
2,120,4877.0,219,-0.6756495742615771,Optimal
3,120,4893.0,223,-0.4843146979747208,Optimal
4,120,1.80004e6,77553,Inf,Time limit reached
5,120,4665.0,211,-0.7615336589502605,Optimal
6,120,4863.0,219,-0.2893002575592289,Optimal
7,120,4640.0,203,-0.6073368162571664,Optimal
8,120,4341.0,191,-0.2832766778271848,Optimal
9,120,4791.0,211,-0.018632864981354934,Optimal
10,120,1.004639e6,39189,-1.5417342616196208,Optimal
