seed,n0,m0,M,time,solution,termination,ncalls
1,5,50,20.0,8.391,3.7832568240600732,OPTIMAL,431
2,5,50,20.0,6.767,5.452331495095906,OPTIMAL,342
3,5,50,20.0,12.853,2.951593366334075,OPTIMAL,526
1,6,60,20.0,28.399,5.461964724448867,tree.lb>primal-dual_gap,1004
2,6,60,20.0,23.538,3.1797087835972224,primal>tree.incumbent+1e-2,7349
3,6,60,20.0,15.357,2.8841788118660294,OPTIMAL,10422
1,7,70,20.0,21.498,5.1397486550323315,OPTIMAL,1024
2,7,70,20.0,23.272,3.2852063967497984,OPTIMAL,1044
3,7,70,20.0,35.335,1.1577039296767686,primal>tree.incumbent+1e-2,1539
1,8,80,20.0,88.185,5.842870044921049,OPTIMAL,3700
2,8,80,20.0,91.013,4.649146590705851,tree.lb>primal-dual_gap,3427
3,8,80,20.0,76.75,1.4904277510395378,tree.lb>primal-dual_gap,3230
1,9,90,20.0,289.099,4.305484890294386,OPTIMAL,9201
2,9,90,20.0,298.349,5.198288416103112,primal>tree.incumbent+1e-2,10815
3,9,90,20.0,99.871,1.2882886492380508,primal>tree.incumbent+1e-2,4286
1,10,100,20.0,510.825,5.833221165239407,tree.lb>primal-dual_gap,18006
2,10,100,20.0,649.377,5.8364100657708065,tree.lb>primal-dual_gap,20933
3,10,100,20.0,321.892,2.4841571939078517,primal>tree.incumbent+1e-2,13320
1,11,110,20.0,1800.416,6.004434481970586,primal>tree.incumbent+1e-2,54400
2,11,110,20.0,1722.8,5.630990575342185,OPTIMAL,58651
3,11,110,20.0,409.468,1.8447204444175198,OPTIMAL,15839
1,12,120,20.0,1800.667,7.167172791152288,tree.lb>primal-dual_gap,55176
2,12,120,20.0,1728.538,6.486443406808879,tree.lb>primal-dual_gap,68706
3,12,120,20.0,1035.949,0.43572087130319104,tree.lb>primal-dual_gap,40158
1,13,130,20.0,1801.394,8.307328213140808,primal>tree.incumbent+1e-2,54542
2,13,130,20.0,1800.828,8.57657620949704,primal>tree.incumbent+1e-2,57212
3,13,130,20.0,1801.337,1.543079557504028,primal>tree.incumbent+1e-2,53843
1,14,140,20.0,1800.402,7.897095911327274,Time limit reached,45598
2,14,140,20.0,1800.517,9.136408477423792,primal>tree.incumbent+1e-2,49929
3,14,140,20.0,1800.423,3.7940353143474237,primal>tree.incumbent+1e-2,50239
1,15,150,20.0,1801.199,10.603331965262534,primal>tree.incumbent+1e-2,44812
2,15,150,20.0,1801.703,9.701868161607837,primal>tree.incumbent+1e-2,49701
