seed,n0,m0,M,time,solution,termination,calls
1,5,50,20.0,1.081831,3.7832573065712234,OPTIMAL,136
2,5,50,20.0,0.027791,5.452331803971415,OPTIMAL,131
3,5,50,20.0,0.02572,2.9515934583615535,OPTIMAL,115
4,5,50,20.0,0.029249999999999998,2.760220304935033,OPTIMAL,127
5,5,50,20.0,0.025810999999999997,2.7548420253441623,OPTIMAL,127
6,5,50,20.0,0.028304,1.8938361884222343,OPTIMAL,129
7,5,50,20.0,0.02666,1.7685158765071918,OPTIMAL,114
8,5,50,20.0,0.028714999999999997,6.854426204476633,OPTIMAL,133
9,5,50,20.0,0.034655,1.1585655912205528,OPTIMAL,126
10,5,50,20.0,0.026233,4.333125842458574,OPTIMAL,89
1,6,60,20.0,0.045286,5.461865668714659,OPTIMAL,163
2,6,60,20.0,0.06812,3.0476814179516745,OPTIMAL,239
3,6,60,20.0,0.045494,2.884178971657188,OPTIMAL,176
4,6,60,20.0,0.061529,3.733850308613328,OPTIMAL,250
5,6,60,20.0,0.044807,4.63175915229683,OPTIMAL,172
6,6,60,20.0,0.040823,2.306593062531603,OPTIMAL,161
7,6,60,20.0,0.047494999999999996,1.745460446894597,OPTIMAL,177
8,6,60,20.0,0.056258999999999997,6.770901968735942,OPTIMAL,188
9,6,60,20.0,0.040956,0.5525109804061732,OPTIMAL,159
10,6,60,20.0,0.060212999999999996,5.575374524845035,OPTIMAL,151
1,7,70,20.0,0.058334,5.139749026957312,OPTIMAL,237
2,7,70,20.0,0.050192,3.285206780705906,OPTIMAL,207
3,7,70,20.0,0.059628999999999995,1.1115405651000083,OPTIMAL,232
4,7,70,20.0,0.052114,1.8430808106297412,OPTIMAL,199
5,7,70,20.0,0.059808999999999994,3.1735555245295375,OPTIMAL,236
6,7,70,20.0,0.044826,2.4845740740092013,OPTIMAL,170
7,7,70,20.0,0.055229,2.34882574974314,OPTIMAL,214
8,7,70,20.0,0.068996,6.554334928755631,OPTIMAL,228
9,7,70,20.0,0.061352,-0.0461425337818947,OPTIMAL,225
10,7,70,20.0,0.08370699999999999,5.219753375847091,OPTIMAL,184
1,8,80,20.0,0.081736,5.842870299124243,OPTIMAL,273
2,8,80,20.0,0.066365,4.641723129138664,OPTIMAL,237
3,8,80,20.0,0.076322,1.489672514820188,OPTIMAL,268
4,8,80,20.0,0.067577,3.152025917081553,OPTIMAL,250
5,8,80,20.0,0.07386999999999999,4.0898090097090005,OPTIMAL,270
6,8,80,20.0,0.082968,4.056507018038993,OPTIMAL,235
7,8,80,20.0,0.075643,2.3452670130089497,OPTIMAL,250
8,8,80,20.0,0.083091,7.598197914706133,OPTIMAL,258
9,8,80,20.0,0.116474,-0.7290931135203169,OPTIMAL,337
10,8,80,20.0,0.08343199999999999,5.541656589295645,OPTIMAL,293
1,9,90,20.0,0.103201,4.305484822782873,OPTIMAL,311
2,9,90,20.0,0.09074499999999999,5.187203407893222,OPTIMAL,303
3,9,90,20.0,0.086684,1.0108017496110613,OPTIMAL,282
4,9,90,20.0,0.108225,2.346365325938651,OPTIMAL,342
5,9,90,20.0,0.16444599999999998,3.500548994309736,OPTIMAL,289
6,9,90,20.0,0.12996,3.8713161202080055,OPTIMAL,407
7,9,90,20.0,0.084073,1.0812725838167576,OPTIMAL,305
8,9,90,20.0,0.149332,9.525421467783705,OPTIMAL,352
9,9,90,20.0,0.09542199999999999,-0.16728640943560658,OPTIMAL,314
10,9,90,20.0,0.116828,6.115068066036281,OPTIMAL,343
1,10,100,20.0,0.179804,5.712069576879376,OPTIMAL,385
2,10,100,20.0,0.109564,5.83265358876814,OPTIMAL,352
3,10,100,20.0,0.13263999999999998,2.1463834450946884,OPTIMAL,393
4,10,100,20.0,0.148188,1.835557080112613,OPTIMAL,388
5,10,100,20.0,0.107568,3.778405034780241,OPTIMAL,340
6,10,100,20.0,0.131847,4.090223806798286,OPTIMAL,390
7,10,100,20.0,0.12600999999999998,1.5345280229760467,OPTIMAL,377
8,10,100,20.0,0.14554,9.386544692458788,OPTIMAL,396
9,10,100,20.0,0.161916,-0.5486769962914584,OPTIMAL,398
10,10,100,20.0,0.156864,7.1571559737963835,OPTIMAL,389
1,11,110,20.0,0.158581,5.753685337125548,OPTIMAL,428
2,11,110,20.0,0.15950899999999998,5.630124604248149,OPTIMAL,440
3,11,110,20.0,0.161363,1.8446495897580324,OPTIMAL,449
4,11,110,20.0,0.16430499999999998,1.2222044600007793,OPTIMAL,441
5,11,110,20.0,0.160358,3.8819688878494225,OPTIMAL,447
6,11,110,20.0,0.156052,4.52648936446561,OPTIMAL,442
7,11,110,20.0,0.166964,1.1829449264668954,OPTIMAL,457
8,11,110,20.0,0.175442,10.419191746011975,OPTIMAL,473
9,11,110,20.0,0.167038,0.6362269213104161,OPTIMAL,453
10,11,110,20.0,0.17080499999999998,8.023869311135876,OPTIMAL,404
1,12,120,20.0,0.20423,6.688040299743828,OPTIMAL,522
2,12,120,20.0,0.194438,6.439775146381722,OPTIMAL,494
3,12,120,20.0,0.225773,0.43572123251718287,OPTIMAL,551
4,12,120,20.0,0.20052299999999998,1.2982176085685868,OPTIMAL,508
5,12,120,20.0,0.238222,3.452799805667313,OPTIMAL,537
6,12,120,20.0,0.20433099999999998,3.9728744992091816,OPTIMAL,504
7,12,120,20.0,0.19533399999999998,0.7007565215375348,OPTIMAL,490
8,12,120,20.0,0.603652,11.094265284702525,OPTIMAL,751
9,12,120,20.0,0.20945799999999998,-0.14020233277381045,OPTIMAL,515
10,12,120,20.0,0.206178,7.603742229270994,OPTIMAL,510
1,13,130,20.0,0.27408299999999997,7.971170201664589,OPTIMAL,600
2,13,130,20.0,0.287358,7.3840493566724525,OPTIMAL,599
3,13,130,20.0,0.347788,0.5845972532631896,OPTIMAL,714
4,13,130,20.0,0.23873599999999998,2.913213680177655,OPTIMAL,504
5,13,130,20.0,0.292188,3.8079351107475303,OPTIMAL,602
6,13,130,20.0,0.35215399999999997,4.487565250860704,OPTIMAL,547
7,13,130,20.0,0.26831499999999997,0.9455783590845696,OPTIMAL,563
8,13,130,20.0,0.30104,12.297375734450215,OPTIMAL,572
9,13,130,20.0,0.384195,0.14552794469862385,OPTIMAL,508
10,13,130,20.0,0.29920199999999997,8.747952960712578,OPTIMAL,607
1,14,140,20.0,0.373662,7.390225493858504,OPTIMAL,659
2,14,140,20.0,0.281279,7.277417968122018,OPTIMAL,650
3,14,140,20.0,0.36000299999999996,1.343504650513915,OPTIMAL,681
4,14,140,20.0,0.381023,2.432533043103562,OPTIMAL,714
5,14,140,20.0,0.34532199999999996,3.6144713888140054,OPTIMAL,698
6,14,140,20.0,0.302271,4.992221188681059,OPTIMAL,547
7,14,140,20.0,0.329469,2.2853656763777153,OPTIMAL,664
8,14,140,20.0,0.364353,13.089063505726386,OPTIMAL,657
9,14,140,20.0,0.346587,0.9064886088546167,OPTIMAL,646
10,14,140,20.0,0.38007799999999997,9.340798400633613,OPTIMAL,697
1,15,150,20.0,0.401541,9.200583051466456,OPTIMAL,719
2,15,150,20.0,0.444586,8.212307565694427,OPTIMAL,756
3,15,150,20.0,0.429369,2.0398210170302176,OPTIMAL,762
4,15,150,20.0,0.49305899999999997,3.019889989250398,OPTIMAL,809
5,15,150,20.0,0.464933,2.6728605672981063,OPTIMAL,759
6,15,150,20.0,0.717594,4.23373470309527,OPTIMAL,679
7,15,150,20.0,0.40926399999999996,1.5588496181761649,OPTIMAL,731
8,15,150,20.0,0.391852,13.07349143149635,OPTIMAL,677
9,15,150,20.0,0.439173,0.9057621978309536,OPTIMAL,768
10,15,150,20.0,0.552503,9.736794583456495,OPTIMAL,814
