seed,dimension,p,k,time,solution,termination,ncalls
1,90,90,45.0,1.0,1805.973,-53697.333951058725,Time limit reached,8662
1,90,90,45.0,5.0,16.223,-32165.473965912246,OPTIMAL,94
1,90,90,45.0,10.0,21.909,-38133.89095796784,OPTIMAL,94
2,90,90,45.0,0.1,0.032,-14084.188010188294,OPTIMAL,5
2,90,90,45.0,1.0,1806.342,-38647.89708760296,Time limit reached,11699
2,90,90,45.0,5.0,25.944,-21446.70421801225,OPTIMAL,210
2,90,90,45.0,10.0,23.189,-27740.677769395035,OPTIMAL,146
3,90,90,45.0,0.1,0.042,-4063.3151238691667,OPTIMAL,5
3,90,90,45.0,1.0,1805.126,-9588.630094835946,Time limit reached,13582
3,90,90,45.0,5.0,35.109,-5228.694089750154,OPTIMAL,318
3,90,90,45.0,10.0,23.634,-6949.013484341333,OPTIMAL,135
4,90,90,45.0,0.1,0.033,-10504.732237194454,OPTIMAL,5
4,90,90,45.0,1.0,1802.227,-27929.482817529224,Time limit reached,11847
4,90,90,45.0,5.0,24.664,-16025.791320369688,OPTIMAL,210
4,90,90,45.0,10.0,16.469,-20889.108822972685,OPTIMAL,140
5,90,90,45.0,0.1,0.032,-1000.1461563458813,OPTIMAL,5
5,90,90,45.0,1.0,1803.669,-456.1115360973653,Time limit reached,28729
5,90,90,45.0,5.0,17.987,-2100.968896969361,OPTIMAL,251
5,90,90,45.0,10.0,18.256,-2213.440693454847,OPTIMAL,290
6,90,90,45.0,0.1,0.042,-1.4397826701698136e6,OPTIMAL,5
6,90,90,45.0,1.0,8.518,-6.064949686289197e6,OPTIMAL,26
6,90,90,45.0,5.0,58.972,-2.1317104343689755e6,OPTIMAL,194
6,90,90,45.0,10.0,17.074,-4.7910031247589225e6,OPTIMAL,75
7,90,90,45.0,0.1,0.031,-129915.86278481437,OPTIMAL,5
7,90,90,45.0,1.0,1802.918,-567829.5287094756,Time limit reached,12774
7,90,90,45.0,5.0,40.732,-255243.0088110602,OPTIMAL,293
7,90,90,45.0,10.0,16.508,-427443.43913969427,OPTIMAL,136
8,90,90,45.0,0.1,0.03,-118972.5986311546,OPTIMAL,5
8,90,90,45.0,1.0,20.378,-404123.31803481653,OPTIMAL,72
8,90,90,45.0,5.0,24.574,-179758.24699591193,OPTIMAL,139
8,90,90,45.0,10.0,16.269,-302897.28551606607,OPTIMAL,97
9,90,90,45.0,0.1,0.031,-8286.736243114898,OPTIMAL,5
9,90,90,45.0,1.0,1810.423,-19571.33551000647,Time limit reached,8137
9,90,90,45.0,5.0,16.873,-9939.73570621012,OPTIMAL,85
9,90,90,45.0,10.0,16.889,-13103.425440490837,OPTIMAL,86
10,90,90,45.0,0.1,0.031,-95338.92676350637,OPTIMAL,5
10,90,90,45.0,1.0,1806.63,-222535.58111949678,Time limit reached,4123
10,90,90,45.0,5.0,64.101,-84696.84057029792,OPTIMAL,204
10,90,90,45.0,10.0,22.113,-151460.33532654017,OPTIMAL,64
