seed,num_v,time,lowerBound,upperBound,termination,LMOcalls
1,4,378.0,-316.67873476091336,-286.5136285395649,Time limit reached,11
1,4,639.0,-316.67873476091336,-286.5136285395649,Time limit reached,19
1,4,778.0,-310.43841779292956,-286.5136285395649,Time limit reached,23
1,4,1066.0,-310.43841779292956,-286.5136285395649,Time limit reached,32
1,4,1443.0,-310.43841779292956,-286.5557607473006,Time limit reached,43
1,4,1866.0,-310.43841779292956,-289.5916000482705,Time limit reached,56
1,4,2327.0,-310.43841779292956,-289.5916000482705,Time limit reached,69
1,4,2717.0,-310.43841779292956,-289.5916000482705,Time limit reached,81
1,4,3068.0,-310.43841779292956,-289.5916000482705,Time limit reached,92
1,4,3306.0,-310.43841779292956,-289.5916000482705,Time limit reached,99
1,4,3488.0,-310.43841779292956,-289.5916000482705,Time limit reached,105
1,4,3813.0,-310.43841779292956,-289.5916000482705,Time limit reached,115
1,4,4223.0,-310.43841779292956,-289.5916000482705,Time limit reached,127
1,4,4614.0,-310.43841779292956,-289.5916000482705,Time limit reached,139
1,4,5107.0,-310.43841779292956,-289.5916000482705,Time limit reached,152
1,4,5614.0,-310.43841779292956,-289.5916000482705,Time limit reached,167
1,4,6080.0,-310.43841779292956,-289.5916000482705,Time limit reached,180
1,4,6466.0,-310.43841779292956,-289.5916000482705,Time limit reached,191
1,4,6974.0,-310.43841779292956,-289.5916000482705,Time limit reached,205
1,4,7230.0,-310.43841779292956,-289.5916000482705,Time limit reached,213
1,4,7645.0,-310.43841779292956,-289.5916000482705,Time limit reached,225
1,4,8084.0,-310.43841779292956,-289.5916000482705,Time limit reached,238
1,4,8484.0,-310.43841779292956,-289.5916000482705,Time limit reached,250
1,4,8756.0,-310.43841779292956,-289.5916000482705,Time limit reached,258
1,4,9230.0,-310.43841779292956,-289.5916000482705,Time limit reached,271
1,4,10072.0,-310.43841779292956,-289.5916000482705,Time limit reached,292
1,4,10503.0,-310.43841779292956,-289.5916000482705,Time limit reached,305
1,4,10960.0,-310.43841779292956,-289.5916000482705,Time limit reached,318
1,4,11338.0,-310.43841779292956,-289.5916000482705,Time limit reached,329
1,4,11976.0,-310.43841779292956,-289.5916000482705,Time limit reached,348
1,4,12503.0,-310.43841779292956,-289.5916000482705,Time limit reached,361
1,4,12885.0,-310.43841779292956,-289.5916000482705,Time limit reached,373
1,4,13326.0,-310.43841779292956,-289.5916000482705,Time limit reached,386
1,4,13634.0,-310.43841779292956,-289.5916000482705,Time limit reached,395
1,4,14169.0,-310.43841779292956,-289.5916000482705,Time limit reached,408
1,4,14593.0,-310.43841779292956,-289.5916000482705,Time limit reached,420
1,4,15114.0,-310.43841779292956,-289.5916000482705,Time limit reached,434
1,4,15542.0,-310.43841779292956,-290.4124902760385,Time limit reached,446
1,4,16054.0,-310.43841779292956,-290.4124902760385,Time limit reached,461
