seed,dimension,p,k,time,solution,termination,ncalls
1,15,75,3.0,2.978,2.8156085839248965,OPTIMAL,739
2,15,75,3.0,6.389,2.510955015317064,OPTIMAL,1703
3,15,75,3.0,9.136,4.977486303591386,OPTIMAL,2424
4,15,75,3.0,51.014,3.570152937436937,OPTIMAL,13762
5,15,75,3.0,22.397,3.0960683648881093,OPTIMAL,6012
6,15,75,3.0,0.378,3.274959746910336,OPTIMAL,89
7,15,75,3.0,8.091,4.4719289037401655,OPTIMAL,2264
8,15,75,3.0,85.933,2.287455683965412,OPTIMAL,23487
9,15,75,3.0,0.188,4.3133398005811046,OPTIMAL,44
10,15,75,3.0,1.142,2.391722770462672,OPTIMAL,277
1,16,80,4.0,35.464,2.6633825943920137,OPTIMAL,8498
2,16,80,4.0,19.304,2.346449784313559,OPTIMAL,4738
3,16,80,4.0,45.997,5.091732867438444,OPTIMAL,9714
4,16,80,4.0,36.825,3.5972405325105408,OPTIMAL,8202
5,16,80,4.0,210.552,3.63769637900974,OPTIMAL,46662
6,16,80,4.0,0.681,3.452723946379324,OPTIMAL,169
7,16,80,4.0,23.616,4.703793852904876,OPTIMAL,5650
8,16,80,4.0,1800.189,2.133833155360607,Time limit reached,366596
9,16,80,4.0,0.51,4.506263132840163,OPTIMAL,121
10,16,80,4.0,9.446,1.9988265865273447,OPTIMAL,2226
1,17,85,4.0,4.809,2.3474422755205793,OPTIMAL,1094
2,17,85,4.0,58.364,2.510257899045362,OPTIMAL,13390
3,17,85,4.0,15.619,5.014570729546344,OPTIMAL,3556
4,17,85,4.0,57.66,3.9150015695258875,OPTIMAL,12597
5,17,85,4.0,102.367,3.8998167893942313,OPTIMAL,22794
6,17,85,4.0,0.76,3.193775533784988,OPTIMAL,168
7,17,85,4.0,12.811,4.518599214707445,OPTIMAL,2718
8,17,85,4.0,1800.353,1.9114825258867627,Time limit reached,278179
9,17,85,4.0,0.346,4.771345768384261,OPTIMAL,79
10,17,85,4.0,29.996,2.2440767386834564,OPTIMAL,7025
1,18,90,4.0,25.384,2.5444467333794374,OPTIMAL,5723
2,18,90,4.0,110.999,2.6345054709356903,OPTIMAL,24643
3,18,90,4.0,19.424,5.04847551003505,OPTIMAL,4088
4,18,90,4.0,229.163,4.028020637083428,OPTIMAL,47709
5,18,90,4.0,264.742,3.991629504656097,OPTIMAL,60030
6,18,90,4.0,2.028,3.655307345648596,OPTIMAL,416
7,18,90,4.0,15.402,4.62556213200753,OPTIMAL,3146
8,18,90,4.0,1517.259,2.0434252666920547,OPTIMAL,202079
9,18,90,4.0,0.275,4.705116246234705,OPTIMAL,55
10,18,90,4.0,24.296,2.1813146857106016,OPTIMAL,5343
1,19,95,4.0,20.341,2.722326936292461,OPTIMAL,4296
2,19,95,4.0,20.526,2.8056349490336143,OPTIMAL,4416
3,19,95,4.0,30.038,5.181127574970973,OPTIMAL,6135
4,19,95,4.0,26.076,3.9361600595812054,OPTIMAL,5389
5,19,95,4.0,584.881,4.178160862783165,OPTIMAL,130940
6,19,95,4.0,2.586,3.5875915636396223,OPTIMAL,495
7,19,95,4.0,44.257,5.093563664756703,OPTIMAL,8832
8,19,95,4.0,1195.694,2.1470014564255115,OPTIMAL,190608
9,19,95,4.0,1.772,5.310003417992356,OPTIMAL,358
