seed,dimension,time_afw,solution_afw,termination_afw
1,20,11.475,1.2658745372323663,OPTIMAL
2,20,72.525,-4.930225190397363,OPTIMAL
3,20,38.148,1.4037574423466936,OPTIMAL
4,20,52.136,0.5686080969010998,OPTIMAL
5,20,182.796,-2.3615473444687503,OPTIMAL
6,20,3.897,-8.917010648707457,OPTIMAL
7,20,12.554,2.4385252917781446,OPTIMAL
8,20,12.068,4.231260186285132,OPTIMAL
9,20,39.78,2.752754713528911,OPTIMAL
10,20,278.005,-3.5553752613413736,OPTIMAL
1,25,49.558,3.064385575894592,OPTIMAL
2,25,37.254,3.577052275587004,OPTIMAL
3,25,100.637,2.2152637314483545,OPTIMAL
4,25,38.106,7.003511052171426,OPTIMAL
5,25,361.954,-6.582704719193822,Optimal (tree empty)
6,25,37.778,5.274775664864363,OPTIMAL
7,25,24.173,3.910201133873616,OPTIMAL
8,25,65.989,6.446105681103388,OPTIMAL
9,25,94.696,4.918533105530426,Optimal (tree empty)
10,25,250.544,-11.459975391835187,OPTIMAL
1,30,75.992,5.523682232067458,OPTIMAL
2,30,25.197,7.035181744964532,OPTIMAL
3,30,88.405,1.323910728602376,OPTIMAL
4,30,29.85,5.641999694466306,OPTIMAL
5,30,58.381,5.946586837571959,OPTIMAL
6,30,92.435,6.3330059909113245,OPTIMAL
7,30,1800.653,-4.060737097919322,Time limit reached
8,30,59.01,6.433601462345548,OPTIMAL
9,30,511.288,0.22963438055342245,OPTIMAL
10,30,1800.744,0.5778645849909583,Time limit reached
1,35,94.506,6.514563951553402,OPTIMAL
2,35,316.104,2.1412733647313287,OPTIMAL
3,35,94.509,6.913338934161181,OPTIMAL
4,35,173.681,3.056180406502043,OPTIMAL
5,35,512.299,1.2883581448262902,OPTIMAL
6,35,586.946,-0.5540655212899406,OPTIMAL
7,35,783.953,0.848113097447935,OPTIMAL
8,35,1263.797,-0.7489184639743085,OPTIMAL
9,35,163.481,4.426954183977536,OPTIMAL
10,35,99.242,7.30118114309383,OPTIMAL
1,40,60.247,6.668905686660359,OPTIMAL
2,40,255.584,10.366094011721161,OPTIMAL
3,40,235.527,6.981144660277266,OPTIMAL
4,40,75.737,9.881754761554713,OPTIMAL
5,40,79.969,6.165277011653874,OPTIMAL
6,40,1800.97,0.7325766126645119,Time limit reached
7,40,219.199,6.817786289214361,OPTIMAL
8,40,1800.625,1.3592705266672636,Time limit reached
9,40,1089.111,2.118776626161238,OPTIMAL
10,40,74.489,-20.32082673919959,Optimal (tree empty)
1,45,1800.357,3.2623219447755982,Time limit reached
2,45,1800.837,0.046716356305597895,Time limit reached
3,45,1800.821,1.1186445151371023,Time limit reached
4,45,86.679,10.701337940556193,OPTIMAL
5,45,1800.83,3.6037121380656183,Time limit reached
6,45,127.605,5.495402245983364,OPTIMAL
7,45,228.324,12.62718452571226,OPTIMAL
8,45,107.35,9.163893335986591,OPTIMAL
9,45,1103.423,4.236949514327366,OPTIMAL
10,45,562.981,8.021176616174191,OPTIMAL
1,50,1800.761,1.7912657405623136,Time limit reached
2,50,556.763,4.622262909488774,OPTIMAL
3,50,1800.486,-1.4534103204403683,Time limit reached
4,50,996.477,5.985565030656842,OPTIMAL
5,50,209.742,9.980080860931746,OPTIMAL
6,50,130.115,-64.2721409608989,OPTIMAL
7,50,390.866,4.82154724578178,OPTIMAL
8,50,1396.236,9.156202976924313,OPTIMAL
9,50,909.508,7.006875993079378,OPTIMAL
10,50,1800.019,4.16465237588567,Time limit reached
1,55,569.791,9.242305852737067,OPTIMAL
2,55,258.124,5.53205792465835,OPTIMAL
3,55,1800.712,-0.10583201443540302,Time limit reached
4,55,1718.593,2.5880118641978234,OPTIMAL
5,55,752.156,3.976192278232669,OPTIMAL
6,55,500.118,5.492424811591182,OPTIMAL
7,55,422.99,15.881666168132984,OPTIMAL
8,55,154.774,9.738273612021576,OPTIMAL
9,55,111.466,5.60436720469202,OPTIMAL
10,55,272.565,8.285301129901587,OPTIMAL
1,60,571.378,18.18739155458161,OPTIMAL
2,60,1800.924,4.434377455446731,Time limit reached
3,60,1800.672,8.503163441387004,Time limit reached
4,60,1801.065,0.4870510988439303,Time limit reached
5,60,1800.086,2.6071577663199177,Time limit reached
6,60,301.055,6.2648464616988,OPTIMAL
7,60,371.438,3.8188380686283248,OPTIMAL
8,60,293.3,10.846398359802393,OPTIMAL
9,60,229.407,16.00398093136397,OPTIMAL
10,60,1800.427,1.5513656176322566,Time limit reached
