seed,dimension,var_A,M,time,solution,termination,ncalls
1,10,1,0.1,0.453,0.4839787794388131,OPTIMAL,28
1,10,5,0.1,950.498,0.11922551715862784,OPTIMAL,83169
1,10,1,1.0,4.921,0.4833375449435055,OPTIMAL,1133
1,10,5,1.0,1802.157,0.11922551715863781,Time limit reached,701263
2,10,1,0.1,1.844,0.6202681730603569,OPTIMAL,189
2,10,5,0.1,76.408,0.2506403354067891,OPTIMAL,8307
2,10,1,1.0,3.243,0.6202681730603555,OPTIMAL,711
2,10,5,1.0,795.063,0.2506403354067879,OPTIMAL,312555
3,10,1,0.1,2.345,0.6177061922885712,OPTIMAL,235
3,10,5,0.1,98.984,0.25014774592436784,OPTIMAL,9258
3,10,1,1.0,3.059,0.6177061922885632,OPTIMAL,680
3,10,5,1.0,111.592,0.2501477459243895,OPTIMAL,37448
4,10,1,0.1,1.726,0.6105890503771472,OPTIMAL,173
4,10,5,0.1,94.434,0.2402774497229948,OPTIMAL,10246
4,10,1,1.0,0.727,0.6105890503771372,OPTIMAL,53
4,10,5,1.0,1806.988,0.24027744972298654,Time limit reached,659689
5,10,1,0.1,1.732,0.6051447637018624,OPTIMAL,164
5,10,5,0.1,354.1,0.22507443416258138,OPTIMAL,103469
5,10,1,1.0,2.98,0.6051447637018539,OPTIMAL,671
5,10,5,1.0,1825.298,0.22507443569886454,Time limit reached,716887
1,15,1,0.1,9.361,0.5636770554553597,OPTIMAL,584
1,15,5,0.1,428.408,0.18277872952962687,OPTIMAL,28606
1,15,1,1.0,4.654,0.5636770554553544,OPTIMAL,612
1,15,5,1.0,404.283,0.1827787295296217,OPTIMAL,82214
2,15,1,0.1,7.126,0.6274398534232137,OPTIMAL,403
2,15,5,0.1,139.086,0.26310590470036016,OPTIMAL,8278
2,15,1,1.0,2.779,0.627439853423215,OPTIMAL,340
2,15,5,1.0,383.04,0.2631059079264961,OPTIMAL,86324
3,15,1,0.1,5.226,0.6252714289032655,OPTIMAL,318
3,15,5,0.1,151.43,0.26389846403729855,OPTIMAL,18872
3,15,1,1.0,4.562,0.6252714289032576,OPTIMAL,631
3,15,5,1.0,1817.563,0.2638984721616673,Time limit reached,564640
4,15,1,0.1,2.899,0.6340664353316329,OPTIMAL,189
4,15,5,0.1,98.459,0.28085071265848094,OPTIMAL,7281
4,15,1,1.0,2.829,0.6340664353316255,OPTIMAL,345
4,15,5,1.0,73.693,0.2808507126584747,OPTIMAL,12100
5,15,1,0.1,3.057,0.6091351395410676,OPTIMAL,173
5,15,5,0.1,186.834,0.2347666892690487,OPTIMAL,13510
5,15,1,1.0,2.977,0.6091351395410545,OPTIMAL,345
5,15,5,1.0,212.535,0.23476668926905297,OPTIMAL,45082
1,20,1,0.1,7.233,0.6222824804020576,OPTIMAL,319
1,20,5,0.1,173.915,0.2631864298415595,OPTIMAL,9088
1,20,1,1.0,5.074,0.6222824804020535,OPTIMAL,408
1,20,5,1.0,141.364,0.2631864298415549,OPTIMAL,15694
2,20,1,0.1,9.051,0.6316904518198101,OPTIMAL,343
2,20,5,0.1,165.716,0.2878113530274359,OPTIMAL,7824
2,20,1,1.0,3.585,0.6316904518198097,OPTIMAL,235
2,20,5,1.0,251.825,0.2878113530274317,OPTIMAL,44019
3,20,1,0.1,15.58,0.5995010769047809,OPTIMAL,625
3,20,5,0.1,349.32,0.21857209854025544,OPTIMAL,17249
3,20,1,1.0,7.484,0.599501076904769,OPTIMAL,680
3,20,5,1.0,571.726,0.21857209854025333,OPTIMAL,106066
4,20,1,0.1,8.81,0.5951193348725411,OPTIMAL,428
4,20,5,0.1,344.215,0.21327897875331472,OPTIMAL,18084
4,20,1,1.0,7.454,0.5951193348725422,OPTIMAL,696
4,20,5,1.0,434.134,0.2132789787533117,OPTIMAL,68320
5,20,1,0.1,6.119,0.6388250326770433,OPTIMAL,299
5,20,5,0.1,139.096,0.29840951132069604,OPTIMAL,8384
5,20,1,1.0,6.18,0.638825032677048,OPTIMAL,537
5,20,5,1.0,1855.692,0.2984095136068872,Time limit reached,392415
1,25,1,0.1,24.235,0.6283369552158657,OPTIMAL,696
1,25,5,0.1,269.874,0.2804739305711732,OPTIMAL,9495
1,25,1,1.0,6.637,0.6283369552158415,OPTIMAL,416
1,25,5,1.0,282.938,0.2804739305711714,OPTIMAL,33125
2,25,1,0.1,15.958,0.6216814003390515,OPTIMAL,388
2,25,5,0.1,433.155,0.26106497588977684,OPTIMAL,11397
2,25,1,1.0,8.186,0.6216814003390363,OPTIMAL,569
2,25,5,1.0,535.314,0.2610649758897689,OPTIMAL,79106
3,25,1,0.1,20.236,0.5837527067565944,OPTIMAL,599
3,25,5,0.1,683.377,0.20009330348062054,OPTIMAL,27117
3,25,1,1.0,8.722,0.5837527067565771,OPTIMAL,572
3,25,5,1.0,908.121,0.20009330348062015,OPTIMAL,110249
4,25,1,0.1,21.074,0.5080470573087412,OPTIMAL,656
4,25,5,0.1,1802.913,0.13245498993626015,Time limit reached,56781
4,25,1,1.0,13.177,0.5080470573087216,OPTIMAL,1027
4,25,5,1.0,1825.566,0.1324549899385595,Time limit reached,308695
5,25,1,0.1,11.32,0.6510675370546324,OPTIMAL,333
5,25,5,0.1,262.36,0.33638580617316416,OPTIMAL,24774
5,25,1,1.0,6.472,0.6510675370570013,OPTIMAL,416
5,25,5,1.0,1810.015,0.3363858076801689,Time limit reached,129208
1,30,1,0.1,24.543,0.6076661618868323,OPTIMAL,576
