seed,dimension,time,solution,termination,ncalls
1,20,20.866,-2.485383514659386,primal>=tree.incumbent,10286
2,20,8.525,-1.8589182762517051,primal>=tree.incumbent,4774
3,20,7.762,0.8377493297643657,primal>=tree.incumbent,5598
4,20,4.023,-0.5047425605781184,primal>=tree.incumbent,3099
5,20,14.141,1.5453064884525718,primal>=tree.incumbent,7629
6,20,1.499,2.7747400884785094,primal>=tree.incumbent,1209
7,20,5.611,-0.3751554803904189,primal>=tree.incumbent,3815
8,20,3.504,-4.171067075821629,primal>=tree.incumbent,2529
9,20,2.989,2.0907497426031947,primal>=tree.incumbent,1942
10,20,4.293,2.2414157654206948,primal>=tree.incumbent,2751
1,25,5.751,4.76260907095854,primal>=tree.incumbent,3268
2,25,5.605,5.658724117181837,primal>=tree.incumbent,2841
3,25,10.898,4.632954253479961,primal>=tree.incumbent,6991
4,25,9.726,5.277386746389526,primal>=tree.incumbent,4365
5,25,213.612,-7.964825509978137,primal>=tree.incumbent,33990
6,25,32.685,-1.6475345946182056,primal>=tree.incumbent,9960
7,25,60.216,-8.448290163133155,primal>=tree.incumbent,13975
8,25,40.198,3.1744625191736633,primal>=tree.incumbent,16243
9,25,49.713,-5.301943539218637,primal>=tree.incumbent,15905
10,25,65.357,-3.526877058726355,primal>=tree.incumbent,10963
1,30,18.09,3.940864615749264,primal>=tree.incumbent,8585
2,30,11.953,2.937179104729881,primal>=tree.incumbent,5273
3,30,11.391,2.9106751048463555,primal>=tree.incumbent,5832
4,30,54.297,-11.804488808745113,primal>=tree.incumbent,10646
5,30,13.683,3.345854180802773,primal>=tree.incumbent,7149
6,30,119.626,2.4759792397156923,primal>=tree.incumbent,43107
7,30,13.22,7.140373736095056,primal>=tree.incumbent,5013
8,30,7.412,6.684588283277687,primal>=tree.incumbent,3955
9,30,5.076,5.841953620863588,primal>=tree.incumbent,3134
10,30,1348.902,-7.6401426949017095,primal>=tree.incumbent,193798
1,35,21.603,5.444620365578516,primal>=tree.incumbent,7548
2,35,12.114,-18.281004205875192,primal>=tree.incumbent,3017
3,35,19.109,5.909660421176588,primal>=tree.incumbent,7079
4,35,12.169,6.05604144129502,primal>=tree.incumbent,5258
5,35,90.676,-0.20620544007426833,primal>=tree.incumbent,34432
6,35,744.684,1.9432477596768276,primal>=tree.incumbent,118030
7,35,10.203,9.784495545682114,primal>=tree.incumbent,4506
8,35,9.429,5.495979181037755,primal>=tree.incumbent,3697
9,35,29.871,5.208177299597729,primal>=tree.incumbent,10300
10,35,45.732,4.1657440118389,primal>=tree.incumbent,11057
1,40,40.824,4.38234345670403,primal>=tree.incumbent,15211
2,40,467.272,-12.884479884908464,primal>=tree.incumbent,65836
3,40,95.295,5.363957302161263,primal>=tree.incumbent,20324
4,40,103.562,1.9679886305310799,primal>=tree.incumbent,34133
5,40,38.932,3.5585423500323055,primal>=tree.incumbent,12786
6,40,1800.579,-10.757760900798802,Time limit reached,287506
7,40,39.177,8.359619028667614,primal>=tree.incumbent,9768
8,40,80.099,8.762599546052309,primal>=tree.incumbent,15627
9,40,29.971,8.862692105524477,primal>=tree.incumbent,9412
10,40,776.596,-0.037663277414651475,primal>=tree.incumbent,187978
1,45,107.208,9.570033809940176,primal>=tree.incumbent,22748
2,45,1800.358,-3.2463424538760233,Time limit reached,158682
3,45,8.754,11.720076285232857,primal>=tree.incumbent,3177
4,45,26.346,4.979779257194664,primal>=tree.incumbent,7858
5,45,292.062,8.155608577814819,primal>=tree.incumbent,71235
6,45,99.401,5.409900999267513,primal>=tree.incumbent,12728
7,45,620.022,4.490579294280214,primal>=tree.incumbent,111758
8,45,416.313,2.4495974353436507,primal>=tree.incumbent,52294
9,45,62.424,6.966016480517553,primal>=tree.incumbent,17626
10,45,394.193,7.093204058679744,primal>=tree.incumbent,69039
1,50,84.212,7.593465317694221,primal>=tree.incumbent,17776
2,50,124.662,8.337330770955553,primal>=tree.incumbent,19262
3,50,75.325,5.822089526061514,primal>=tree.incumbent,11907
4,50,78.557,14.781250763390362,primal>=tree.incumbent,13280
5,50,93.596,4.195510221121479,primal>=tree.incumbent,27106
6,50,35.146,13.15108454302793,primal>=tree.incumbent,7923
7,50,62.825,9.798761816122004,primal>=tree.incumbent,10368
8,50,282.469,12.973583773785073,primal>=tree.incumbent,33499
9,50,121.413,14.127326014252441,primal>=tree.incumbent,20767
10,50,1800.124,-2.1169019048943998,Time limit reached,235729
1,55,252.865,10.195430430955852,primal>=tree.incumbent,41626
2,55,44.076,13.98917134896694,primal>=tree.incumbent,10928
3,55,206.147,5.009319592747092,primal>=tree.incumbent,24964
4,55,86.031,15.182207790242831,primal>=tree.incumbent,11731
5,55,1800.2,-19.813544330292544,Time limit reached,419529
6,55,93.822,15.771997558258716,primal>=tree.incumbent,13355
7,55,1800.039,2.819561511558552,Time limit reached,171585
8,55,74.227,11.720651719867956,primal>=tree.incumbent,8943
9,55,76.487,4.239576414587821,primal>=tree.incumbent,16728
10,55,169.493,4.809409336615266,primal>=tree.incumbent,29880
1,60,376.622,12.541279912026196,primal>=tree.incumbent,41934
2,60,198.49,17.12751223313866,primal>=tree.incumbent,22677
3,60,1800.031,4.856759010436737,Time limit reached,111928
4,60,197.044,12.67155870512001,primal>=tree.incumbent,26835
5,60,191.179,16.010124701340988,primal>=tree.incumbent,26585
6,60,134.575,14.453030528713139,primal>=tree.incumbent,11829
7,60,1800.244,1.4374051568507238,Time limit reached,211602
8,60,102.138,16.004421353433937,primal>=tree.incumbent,17024
9,60,1800.131,2.630449077657331,Time limit reached,227701
10,60,1800.053,3.0369188353492333,Time limit reached,223274
1,65,186.649,9.812801297611847,primal>=tree.incumbent,29489
2,65,226.057,12.957355819404127,primal>=tree.incumbent,31215
3,65,149.481,16.481369165701874,primal>=tree.incumbent,13620
4,65,1800.899,-10.60622131772272,Time limit reached,150599
5,65,139.088,17.059374319602092,primal>=tree.incumbent,14722
6,65,1801.004,2.5301831241712085,Time limit reached,150996
7,65,249.778,11.208434893963382,primal>=tree.incumbent,22207
8,65,392.303,8.094092018473761,primal>=tree.incumbent,44414
9,65,285.271,12.93707637021087,primal>=tree.incumbent,43935
10,65,263.08,4.152470561796944,primal>=tree.incumbent,31784
1,70,302.931,16.60647948866525,primal>=tree.incumbent,41218
2,70,382.442,5.5940988333538835,primal>=tree.incumbent,46080
3,70,471.829,15.73158746212867,primal>=tree.incumbent,45376
4,70,432.009,8.01793457360151,primal>=tree.incumbent,46082
5,70,1801.21,3.073472383350181,Time limit reached,114447
6,70,898.081,3.1695761265559907,primal>=tree.incumbent,92951
7,70,1464.706,2.2133692982963638,primal>=tree.incumbent,177519
8,70,1801.162,2.0871971364318043,Time limit reached,110542
9,70,420.049,12.915087137614316,primal>=tree.incumbent,44975
10,70,545.971,19.231088159334806,primal>=tree.incumbent,41707
1,75,242.401,14.304019661704121,primal>=tree.incumbent,25167
2,75,353.921,25.6275522187976,primal>=tree.incumbent,30716
3,75,145.88,13.387350623359177,primal>=tree.incumbent,16723
4,75,268.376,21.441792646233477,primal>=tree.incumbent,23081
5,75,560.399,13.747540879957635,primal>=tree.incumbent,49877
6,75,1801.169,3.566837667512506,Time limit reached,115709
7,75,1800.155,-15.458777803322434,Time limit reached,133004
8,75,523.485,13.390030254548648,primal>=tree.incumbent,40247
9,75,272.761,23.968803452025274,primal>=tree.incumbent,28065
10,75,1011.25,10.037219287223786,primal>=tree.incumbent,82871
1,80,199.53,14.894398525861385,primal>=tree.incumbent,21715
2,80,298.632,21.376104532514475,primal>=tree.incumbent,27446
3,80,640.567,17.464948173700446,primal>=tree.incumbent,51751
4,80,723.331,26.588284035868647,primal>=tree.incumbent,53809
5,80,552.346,14.534398849514107,primal>=tree.incumbent,45238
6,80,1800.678,0.7887865592910899,Time limit reached,113757
7,80,271.729,14.152315479611445,primal>=tree.incumbent,27446
8,80,1800.762,2.8494897040087253,Time limit reached,101924
9,80,441.409,4.806333574830061,primal>=tree.incumbent,52137
10,80,1800.562,-41.40996431969138,Time limit reached,177859
1,85,628.15,11.027272700661898,primal>=tree.incumbent,53436
2,85,478.15,20.793548725572098,primal>=tree.incumbent,33193
3,85,731.387,15.223463996696555,primal>=tree.incumbent,49947
4,85,1800.996,7.609981559033386,Time limit reached,112164
5,85,341.231,25.922033130924426,primal>=tree.incumbent,33373
6,85,593.615,21.199281380085885,primal>=tree.incumbent,53036
7,85,761.532,12.546136649060852,primal>=tree.incumbent,64554
8,85,395.518,15.045217687099722,primal>=tree.incumbent,32101
