seed,dimension,p,k,time,num_nodes,solution,termination
1,15,75,3.0,21244.0,163,2.815606245803557,Optimal
2,15,75,3.0,23459.0,343,2.510953567208758,Optimal
3,15,75,3.0,35662.0,529,4.97748303124901,Optimal
4,15,75,3.0,176436.0,2193,3.5701497183497706,Optimal
5,15,75,3.0,77123.0,1041,3.096066196742239,Optimal
6,15,75,3.0,2825.0,53,3.2749568893217735,Optimal
7,15,75,3.0,39505.0,487,4.47192513838839,Optimal
8,15,75,3.0,238925.0,2421,2.287453738930412,Optimal
9,15,75,3.0,1728.0,33,4.329813847966928,Optimal
10,15,75,3.0,7180.0,97,2.391720049437202,Optimal
1,16,80,4.0,158093.0,1565,2.663381002980705,Optimal
2,16,80,4.0,47918.0,569,2.3464480491551583,Optimal
3,16,80,4.0,147309.0,2077,5.091729404016699,Optimal
4,16,80,4.0,107612.0,1139,3.597237097944213,Optimal
5,16,80,4.0,487454.0,5743,3.637694066239684,Optimal
6,16,80,4.0,2006.0,35,3.4527224419238687,Optimal
7,16,80,4.0,90713.0,1221,4.703790780153929,Optimal
8,16,80,4.0,1.800077e6,19813,2.133831465910055,Time limit reached
9,16,80,4.0,7097.0,125,4.506260634378162,Optimal
10,16,80,4.0,48981.0,805,1.9988248403514854,Optimal
1,17,85,4.0,21364.0,277,2.347440849170061,Optimal
2,17,85,4.0,182588.0,2315,2.510256559519694,Optimal
3,17,85,4.0,81426.0,905,5.014566801995036,Optimal
4,17,85,4.0,151191.0,1511,3.914997907633357,Optimal
5,17,85,4.0,351427.0,4741,3.899814369244486,Optimal
6,17,85,4.0,6616.0,109,3.193774171603006,Optimal
7,17,85,4.0,58567.0,579,4.518595223804617,Optimal
8,17,85,4.0,1.800025e6,21411,1.911481196492108,Time limit reached
9,17,85,4.0,3836.0,53,4.7713428266081594,Optimal
10,17,85,4.0,131227.0,1233,2.2440746071132383,Optimal
1,18,90,4.0,133710.0,1173,2.544445398903861,Optimal
2,18,90,4.0,408898.0,3781,2.634503640375708,Optimal
3,18,90,4.0,109128.0,1145,5.0484712344734,Optimal
4,18,90,4.0,651741.0,5823,4.028017832487545,Optimal
5,18,90,4.0,1.082848e6,9993,3.9916266624466394,Optimal
6,18,90,4.0,8998.0,145,3.662205424215966,Optimal
7,18,90,4.0,89919.0,921,4.62555889684786,Optimal
8,18,90,4.0,1.800025e6,14479,2.0434239910951466,Time limit reached
9,18,90,4.0,6315.0,97,4.705113350923109,Optimal
10,18,90,4.0,120036.0,969,2.1813119900542137,Optimal
1,19,95,4.0,125922.0,997,2.7223254089376634,Optimal
2,19,95,4.0,75649.0,597,2.805632801566478,Optimal
3,19,95,4.0,126453.0,1133,5.181122353748586,Optimal
4,19,95,4.0,84588.0,1083,3.936157720561242,Optimal
5,19,95,4.0,1.800018e6,13045,4.17815837660302,Time limit reached
6,19,95,4.0,26765.0,285,3.5884576709017004,Optimal
7,19,95,4.0,232199.0,2215,5.093560174308796,Optimal
8,19,95,4.0,1.800104e6,13937,2.146999885162984,Time limit reached
9,19,95,4.0,18281.0,249,5.320567139853354,Optimal
10,19,95,4.0,18964.0,205,2.151758800345986,Optimal
1,20,100,4.0,72067.0,909,2.654497077526104,Optimal
2,20,100,4.0,689909.0,4475,3.119135402161448,Optimal
3,20,100,4.0,171199.0,1497,5.18799568090315,Optimal
4,20,100,4.0,899245.0,11123,4.25200927949073,Optimal
5,20,100,4.0,548499.0,3833,4.168129492545513,Optimal
6,20,100,4.0,4307.0,59,3.730429106425254,Optimal
7,20,100,4.0,351022.0,3361,5.183349411713772,Optimal
8,20,100,4.0,1.800142e6,13811,2.469214409101865,Time limit reached
9,20,100,4.0,4333.0,67,5.098482197066141,Optimal
10,20,100,4.0,95656.0,867,2.2411733341169056,Optimal
1,21,105,5.0,238584.0,1625,2.8240247267804635,Optimal
2,21,105,5.0,113604.0,1031,3.0547435036813853,Optimal
3,21,105,5.0,1.038125e6,9475,5.9174275589461285,Optimal
4,21,105,5.0,393737.0,4337,4.404086849545638,Optimal
5,21,105,5.0,1.800139e6,15389,4.320498970191255,Time limit reached
6,21,105,5.0,5508.0,85,3.4372781042718277,Optimal
7,21,105,5.0,101623.0,845,5.125221020979998,Optimal
8,21,105,5.0,1.800093e6,20221,Inf,Time limit reached
9,21,105,5.0,13258.0,129,4.948289757035164,Optimal
10,21,105,5.0,170271.0,1245,1.8622357484592746,Optimal
1,22,110,5.0,280227.0,1793,2.8331490094595435,Optimal
2,22,110,5.0,729488.0,7485,3.245577445196273,Optimal
3,22,110,5.0,590388.0,4595,5.872039071581965,Optimal
4,22,110,5.0,670690.0,5321,4.397488376187355,Optimal
5,22,110,5.0,1.800108e6,13133,4.4499291477798515,Time limit reached
6,22,110,5.0,45093.0,413,3.6122977595204873,Optimal
7,22,110,5.0,346284.0,2665,5.328570717410742,Optimal
8,22,110,5.0,1.800222e6,18957,Inf,Time limit reached
9,22,110,5.0,65616.0,591,5.3574468930048775,Optimal
10,22,110,5.0,405910.0,2809,2.0931151361053244,Optimal
1,23,115,5.0,100028.0,1019,3.0092533413158704,Optimal
2,23,115,5.0,1.090382e6,7557,3.3639532917342936,Optimal
3,23,115,5.0,1.159969e6,7603,6.150082562148511,Optimal
4,23,115,5.0,1.70917e6,16209,4.631358551083521,Optimal
5,23,115,5.0,1.746516e6,11509,4.260631779637979,Optimal
6,23,115,5.0,151715.0,795,3.678036756206267,Optimal
7,23,115,5.0,308071.0,2037,5.131100167240816,Optimal
8,23,115,5.0,1.800036e6,17901,Inf,Time limit reached
9,23,115,5.0,35179.0,257,5.301259739911358,Optimal
10,23,115,5.0,977931.0,9701,2.175034230485567,Optimal
1,24,120,5.0,80134.0,665,2.7933710187414222,Optimal
2,24,120,5.0,1.800029e6,10423,3.4987351397996442,Time limit reached
3,24,120,5.0,670606.0,4535,5.824762848631446,Optimal
4,24,120,5.0,762811.0,4447,4.51202172459079,Optimal
5,24,120,5.0,1.80003e6,16807,Inf,Time limit reached
6,24,120,5.0,52417.0,503,3.907638061798051,Optimal
7,24,120,5.0,1.042437e6,6647,5.4418225735892305,Optimal
8,24,120,5.0,1.800015e6,13455,Inf,Time limit reached
9,24,120,5.0,237942.0,889,5.580350338646799,Optimal
10,24,120,5.0,1.180602e6,7599,2.104805076531319,Optimal
1,25,125,5.0,1.281117e6,5211,3.2556056721706597,Optimal
2,25,125,5.0,714324.0,5973,3.6718248445536323,Optimal
3,25,125,5.0,992791.0,5879,5.945507695764691,Optimal
4,25,125,5.0,1.800199e6,16351,Inf,Time limit reached
5,25,125,5.0,645368.0,5511,4.894530985067208,Optimal
6,25,125,5.0,63921.0,569,3.7863519034851434,Optimal
7,25,125,5.0,436512.0,2893,5.2634443257147066,Optimal
8,25,125,5.0,1.800107e6,16281,Inf,Time limit reached
9,25,125,5.0,53558.0,469,5.610719744543094,Optimal
10,25,125,5.0,820975.0,4285,2.1297443966306417,Optimal
1,26,130,6.0,1.575157e6,8943,3.0255795713846063,Optimal
2,26,130,6.0,1.800071e6,10911,3.735082470587564,Time limit reached
3,26,130,6.0,992334.0,5921,5.998163776695466,Optimal
4,26,130,6.0,1.800171e6,15809,Inf,Time limit reached
5,26,130,6.0,1.800217e6,11261,5.109051200486806,Time limit reached
6,26,130,6.0,598672.0,3635,4.098123227838013,Optimal
7,26,130,6.0,1.642933e6,10369,5.551359697783417,Optimal
8,26,130,6.0,1.80019e6,15547,Inf,Time limit reached
9,26,130,6.0,207206.0,1721,5.767386344238825,Optimal
10,26,130,6.0,1.800004e6,14985,Inf,Time limit reached
1,27,135,6.0,518793.0,3401,3.108662800944517,Optimal
2,27,135,6.0,1.777583e6,8557,3.6139355423647546,Optimal
3,27,135,6.0,1.800036e6,10587,6.472776321450648,Time limit reached
4,27,135,6.0,1.80023e6,9881,4.871982051367427,Time limit reached
5,27,135,6.0,1.800176e6,13567,5.185617384044153,Time limit reached
6,27,135,6.0,152721.0,1269,3.8093844614551036,Optimal
7,27,135,6.0,541351.0,2887,5.734061911053835,Optimal
8,27,135,6.0,1.800032e6,14699,Inf,Time limit reached
9,27,135,6.0,88593.0,719,5.804260276295227,Optimal
10,27,135,6.0,1.684469e6,8205,2.082768121356474,Optimal
