seed,num_v,number_nodes,solution,termination,time
1,4,731,-27695.8544845582,Optimal,113981.0
1,5,81,21647.933949105223,Optimal,12056.0
1,6,77,40050.50432585497,Optimal,12193.0
1,7,73,13896.025677650963,Optimal,9543.0
1,8,79,42019.462083477345,Optimal,12576.0
2,4,411,-21806.960499123154,Optimal,54896.0
2,5,71,16488.32967091706,Optimal,9795.0
2,6,191,11.775432786584133,Optimal,32660.0
2,7,515,-62951.8471384125,Optimal,68826.0
2,8,73,15425.586858239549,Optimal,10293.0
3,4,525,-30479.986605143287,Optimal,75195.0
3,5,421,-3685.8321114593637,Optimal,105820.0
3,6,503,-1955.488671132356,Optimal,88863.0
3,7,71,7954.836137250386,Optimal,9172.0
3,8,513,-14460.444920466398,Optimal,80060.0
