Dimension,numInstances,Boscia_BLMO_LazyTerm,Boscia_BLMO_LazyTermRel,Boscia_BLMO_LazyTime,Boscia_BLMO_LazyRelGapNT,Boscia_BLMO_LazyNodesOCuts,Boscia_BLMO_DICGTerm,Boscia_BLMO_DICGTermRel,Boscia_BLMO_DICGTime,Boscia_BLMO_DICGRelGapNT,Boscia_BLMO_DICGNodesOCuts,Boscia_MIP_LazyTerm,Boscia_MIP_LazyTermRel,Boscia_MIP_LazyTime,Boscia_MIP_LazyRelGapNT,Boscia_MIP_LazyNodesOCuts,Boscia_MIP_DICGTerm,Boscia_MIP_DICGTermRel,Boscia_MIP_DICGTime,Boscia_MIP_DICGRelGapNT,Boscia_MIP_DICGNodesOCuts,Boscia_BLMO_DICG_LazyTerm,Boscia_BLMO_DICG_LazyTermRel,Boscia_BLMO_DICG_LazyTime,Boscia_BLMO_DICG_LazyRelGapNT,Boscia_BLMO_DICG_LazyNodesOCuts,Boscia_MIP_DICG_LazyTerm,Boscia_MIP_DICG_LazyTermRel,Boscia_MIP_DICG_LazyTime,Boscia_MIP_DICG_LazyRelGapNT,Boscia_MIP_DICG_LazyNodesOCuts,Boscia_BLMO_DICG_WSTerm,Boscia_BLMO_DICG_WSTermRel,Boscia_BLMO_DICG_WSTime,Boscia_BLMO_DICG_WSRelGapNT,Boscia_BLMO_DICG_WSNodesOCuts,Boscia_BLMO_DICG_Lazy_WSTerm,Boscia_BLMO_DICG_Lazy_WSTermRel,Boscia_BLMO_DICG_Lazy_WSTime,Boscia_BLMO_DICG_Lazy_WSRelGapNT,Boscia_BLMO_DICG_Lazy_WSNodesOCuts,Boscia_MIP_DICG_Lazy_WSTerm,Boscia_MIP_DICG_Lazy_WSTermRel,Boscia_MIP_DICG_Lazy_WSTime,Boscia_MIP_DICG_Lazy_WSRelGapNT,Boscia_MIP_DICG_Lazy_WSNodesOCuts,Boscia_MIP_DICG_WSTerm,Boscia_MIP_DICG_WSTermRel,Boscia_MIP_DICG_WSTime,Boscia_MIP_DICG_WSRelGapNT,Boscia_MIP_DICG_WSNodesOCuts
55,10,10,100 %,28.39,0.01,148794,10,100 %,31.15,0.01,447876,10,100 %,178.93,0.01,148794,9,90 %,1579.35,0.02,379523,10,100 %,36.19,0.01,328396,9,90 %,1024.97,0.02,279903,10,100 %,35.91,0.01,458730,10,100 %,31.58,0.01,188623,10,100 %,676.01,0.01,188598,9,90 %,1512.56,0.01,403177
56,10,10,100 %,40.34,0.01,178406,10,100 %,55.34,0.01,543523,10,100 %,250.82,0.01,178406,8,80 %,1888.04,0.01,507135,10,100 %,57.59,0.01,389492,10,100 %,1338.38,0.01,389511,10,100 %,45.55,0.01,561328,10,100 %,47.28,0.01,227521,10,100 %,683.62,0.01,227384,7,70 %,2249.99,0.02,510891
57,10,10,100 %,48.53,0.01,194888,10,100 %,87.34,0.01,598706,10,100 %,228.83,0.01,194888,7,70 %,1933.57,0.02,549313,10,100 %,61.41,0.01,426359,10,100 %,1482.51,0.01,426308,10,100 %,57.93,0.01,619581,10,100 %,59.33,0.01,249019,10,100 %,736.11,0.01,249044,6,60 %,2388.83,0.03,506005
58,10,10,100 %,64.78,0.01,237541,10,100 %,76.19,0.01,727123,10,100 %,280.98,0.01,237541,6,60 %,1981.08,0.02,628375,10,100 %,73.33,0.01,518961,8,80 %,1581.86,0.02,478966,10,100 %,82.8,0.01,750856,10,100 %,82.77,0.01,302510,10,100 %,880.71,0.01,302503,5,50 %,2548.41,0.04,536167
59,10,10,100 %,74.48,0.01,266624,10,100 %,85.31,0.01,816982,10,100 %,335.67,0.01,266624,5,50 %,2449.87,0.05,561665,10,100 %,97.36,0.01,585148,7,70 %,1769.76,0.02,504407,10,100 %,98.77,0.01,851428,10,100 %,97.89,0.01,340272,10,100 %,980.43,0.01,340138,4,40 %,2616.31,0.06,537715
60,10,10,100 %,108.86,0.01,302443,10,100 %,111.37,0.01,934451,10,100 %,398.6,0.01,302437,4,40 %,2668.22,0.06,571835,10,100 %,124.95,0.01,663213,5,50 %,2052.95,0.04,491629,10,100 %,120.38,0.01,979833,10,100 %,129.87,0.01,386485,10,100 %,1157.57,0.01,386569,3,30 %,2766.35,0.07,553546
61,10,10,100 %,156.56,0.01,367610,10,100 %,160.43,0.01,1130372,10,100 %,555.43,0.01,367610,3,30 %,2872.75,0.08,595092,10,100 %,174.57,0.01,809536,4,40 %,2273.03,0.06,511686,10,100 %,157.08,0.01,1191369,10,100 %,197.12,0.01,469967,9,90 %,1427.56,0.01,451571,2,20 %,2998.91,0.09,573653
62,10,10,100 %,179.68,0.01,401667,10,100 %,186.42,0.01,1248362,10,100 %,694.19,0.01,401667,3,30 %,2939.51,0.07,677646,10,100 %,166.97,0.01,882240,4,40 %,2404.99,0.06,528285,10,100 %,186.66,0.01,1324256,10,100 %,171.03,0.01,514688,9,90 %,1641.1,0.01,493016,1,10 %,3021.95,0.14,448435
63,10,10,100 %,222.57,0.01,465887,10,100 %,250.16,0.01,1441994,10,100 %,796.48,0.01,465887,2,20 %,3093.23,0.09,669838,10,100 %,265.42,0.01,1012933,4,40 %,2563.25,0.06,580167,10,100 %,256.91,0.01,1534830,10,100 %,270.15,0.01,595896,7,70 %,1831.78,0.02,531433,1,10 %,3242.88,0.15,456661
64,10,10,100 %,311.74,0.01,607248,10,100 %,331.96,0.01,1857630,9,90 %,945.16,0.01,564655,2,20 %,3078.57,0.12,587426,10,100 %,296.81,0.01,1355802,4,40 %,2430.82,0.09,536494,10,100 %,337.52,0.01,1952792,10,100 %,354.53,0.01,778260,6,60 %,1756.04,0.05,491524,1,10 %,3225.61,0.17,456545
