seed,dimension,timeBoscia_BLMO_Lazy,solutionBoscia_BLMO_Lazy,terminationBoscia_BLMO_Lazy,numberNodesBoscia_BLMO_Lazy,dualGapBoscia_BLMO_Lazy,lbBoscia_BLMO_Lazy,relGapBoscia_BLMO_Lazy,timeBoscia_BLMO_DICG,solutionBoscia_BLMO_DICG,terminationBoscia_BLMO_DICG,numberNodesBoscia_BLMO_DICG,dualGapBoscia_BLMO_DICG,lbBoscia_BLMO_DICG,relGapBoscia_BLMO_DICG,timeBoscia_MIP_Lazy,solutionBoscia_MIP_Lazy,terminationBoscia_MIP_Lazy,numberNodesBoscia_MIP_Lazy,dualGapBoscia_MIP_Lazy,lbBoscia_MIP_Lazy,relGapBoscia_MIP_Lazy,timeBoscia_MIP_DICG,solutionBoscia_MIP_DICG,terminationBoscia_MIP_DICG,numberNodesBoscia_MIP_DICG,dualGapBoscia_MIP_DICG,lbBoscia_MIP_DICG,relGapBoscia_MIP_DICG,timeBoscia_BLMO_DICG_Lazy,solutionBoscia_BLMO_DICG_Lazy,terminationBoscia_BLMO_DICG_Lazy,numberNodesBoscia_BLMO_DICG_Lazy,dualGapBoscia_BLMO_DICG_Lazy,lbBoscia_BLMO_DICG_Lazy,relGapBoscia_BLMO_DICG_Lazy,timeBoscia_MIP_DICG_Lazy,solutionBoscia_MIP_DICG_Lazy,terminationBoscia_MIP_DICG_Lazy,numberNodesBoscia_MIP_DICG_Lazy,dualGapBoscia_MIP_DICG_Lazy,lbBoscia_MIP_DICG_Lazy,relGapBoscia_MIP_DICG_Lazy,timeBoscia_BLMO_DICG_WS,solutionBoscia_BLMO_DICG_WS,terminationBoscia_BLMO_DICG_WS,numberNodesBoscia_BLMO_DICG_WS,dualGapBoscia_BLMO_DICG_WS,lbBoscia_BLMO_DICG_WS,relGapBoscia_BLMO_DICG_WS,timeBoscia_BLMO_DICG_Lazy_WS,solutionBoscia_BLMO_DICG_Lazy_WS,terminationBoscia_BLMO_DICG_Lazy_WS,numberNodesBoscia_BLMO_DICG_Lazy_WS,dualGapBoscia_BLMO_DICG_Lazy_WS,lbBoscia_BLMO_DICG_Lazy_WS,relGapBoscia_BLMO_DICG_Lazy_WS,timeBoscia_MIP_DICG_Lazy_WS,solutionBoscia_MIP_DICG_Lazy_WS,terminationBoscia_MIP_DICG_Lazy_WS,numberNodesBoscia_MIP_DICG_Lazy_WS,dualGapBoscia_MIP_DICG_Lazy_WS,lbBoscia_MIP_DICG_Lazy_WS,relGapBoscia_MIP_DICG_Lazy_WS,timeBoscia_MIP_DICG_WS,solutionBoscia_MIP_DICG_WS,terminationBoscia_MIP_DICG_WS,numberNodesBoscia_MIP_DICG_WS,dualGapBoscia_MIP_DICG_WS,lbBoscia_MIP_DICG_WS,relGapBoscia_MIP_DICG_WS,minimumTime
1,55,23.601,1.3950000000000011,1,114851,0.010547031961668285,1.3844529680383328,0.0076181944819784285,26.336,1.3950000000000011,1,359826,0.011093031397981346,1.3839069686020198,0.00801573490824111,146.738,1.3950000000000011,1,114851,0.010547031961668285,1.3844529680383328,0.0076181944819784285,1778.946,1.3950000000000011,1,359598,0.01109303139797424,1.3839069686020269,0.008015734908235936,30.568,1.3950000000000011,1,240717,0.011049906726822156,1.383950093273179,0.007984324565265235,1279.34,1.3950000000000011,1,240717,0.011049906726823044,1.383950093273178,0.007984324565265882,32.347,1.3950000000000011,1,384405,0.010824801320423294,1.3841751986795778,0.007820398263709335,28.534,1.3950000000000011,1,147301,0.013742094564852314,1.3812579054351488,0.009948970797400092,1059.962,1.3950000000000011,1,147350,0.013742094564852314,1.3812579054351488,0.009948970797400092,1679.758,1.3950000000000011,1,384405,0.010824801320423294,1.3841751986795778,0.007820398263709335,23.601
2,55,12.685,1.3150000000000006,1,76670,0.010000049539888867,1.3049999504601117,0.00766287350153775,14.0,1.3150000000000006,1,255140,0.010000150916254835,1.3049998490837458,0.00766295177986116,106.535,1.3150000000000006,1,76670,0.010000049539888867,1.3049999504601117,0.00766287350153775,1312.154,1.3150000000000006,1,253816,0.010000133988938398,1.3049998660110622,0.007662938709339016,16.076,1.3150000000000006,1,153280,0.01165673415558599,1.3033432658444146,0.008943717638371948,840.499,1.3150000000000006,1,153265,0.01165673415533619,1.3033432658446644,0.008943717638178573,17.754,1.3150000000000006,1,274391,0.010000099259135808,1.3049999007408648,0.007662911892528595,15.024,1.3150000000000006,1,97425,0.012524896216348669,1.302475103783652,0.009616226966614726,725.516,1.3150000000000006,1,97425,0.012524896216348669,1.302475103783652,0.009616226966614726,1226.689,1.3150000000000006,1,274391,0.010000099259135808,1.3049999007408648,0.007662911892528595,12.685
3,55,15.661,1.3550000000000009,1,97078,0.010088384131455408,1.3449116158685455,0.00750115027071152,19.754,1.3550000000000009,1,305426,0.010194646786621409,1.3448053532133795,0.007580760116890932,132.878,1.3550000000000009,1,97078,0.010088384131455408,1.3449116158685455,0.00750115027071152,1524.915,1.3550000000000009,1,305426,0.01019464678661719,1.3448053532133837,0.00758076011688777,21.305,1.3550000000000009,1,198848,0.010187625002467948,1.344812374997533,0.0075754991490814,993.848,1.3550000000000009,1,198845,0.010187625002467948,1.344812374997533,0.0075754991490814,23.012,1.3550000000000009,1,331155,0.010194276162112992,1.3448057238378879,0.007580482430592242,18.922,1.3550000000000009,1,123736,0.010181863213031939,1.344818136786969,0.007571182254693845,913.979,1.3550000000000009,1,123736,0.010181863213031939,1.344818136786969,0.007571182254693845,1465.049,1.3550000000000009,1,331283,0.010197516728134959,1.344802483271866,0.007582910393892709,15.661
4,55,7.9,1.2350000000000008,1,45130,0.011954636416181774,1.223045363583819,0.009774483246599942,10.614,1.2350000000000008,1,161740,0.010000062580964642,1.2249999374190361,0.00816331680965949,67.738,1.2350000000000008,1,45130,0.011954636416181774,1.223045363583819,0.009774483246599942,834.174,1.2350000000000008,1,161740,0.010000062580964642,1.2249999374190361,0.00816331680965949,10.615,1.2350000000000008,1,87739,0.010989224714275325,1.2240107752857254,0.008978045729793572,444.509,1.2350000000000008,1,87903,0.010994278814334013,1.2240057211856668,0.008982211948882154,12.349,1.2350000000000008,1,174469,0.01000001090570235,1.2249999890942984,0.008163274281411089,10.532,1.2350000000000008,1,56841,0.01210146959109304,1.2228985304089077,0.009895726661022808,433.374,1.2350000000000008,1,56841,0.012101469591093927,1.2228985304089068,0.009895726661023542,806.786,1.2350000000000008,1,174469,0.01000001090570235,1.2249999890942984,0.008163274281411089,7.9
5,55,398.81,1.6350000000000007,1,507133,0.015000319599064893,1.6199996804009358,0.00925945836936983,477.364,1.6350000000000007,1,1407512,0.015000239211708122,1.6199997607882926,0.009259408288066042,1274.679,1.6350000000000007,1,507133,0.015000319599064893,1.6199996804009358,0.00925945836936983,3600.032,1.6350000000000007,0,726852,0.13520781975617902,1.4997921802438217,0.09015103661508506,541.689,1.6350000000000007,1,1213674,0.015000003702855036,1.6199999962971456,0.009259261566136255,3600.034,1.6350000000000007,0,728482,0.1151898270988132,1.5198101729011875,0.07579224639543351,534.524,1.6350000000000007,1,1355079,0.015000083405155795,1.6199999165948449,0.009259311220635854,472.235,1.6350000000000007,1,634660,0.016158859476148812,1.6188411405238519,0.009981745009840717,2577.048,1.6350000000000007,1,634429,0.016158859476147702,1.618841140523853,0.009981745009840023,3600.029,1.6350000000000007,0,799123,0.11513118532396338,1.5198688146760373,0.07575073862444096,398.81
6,55,88.113,1.5150000000000001,1,254210,0.010014968448943673,1.5049850315510565,0.006654530270392205,97.359,1.5150000000000001,1,753638,0.010035879993751884,1.5049641200062482,0.0066685177808160755,471.19,1.5150000000000001,1,254210,0.010014968448943673,1.5049850315510565,0.006654530270392205,3503.849,1.5150000000000001,1,753638,0.01003587999375144,1.5049641200062487,0.006668517780815778,123.578,1.5150000000000001,1,565229,0.010033920831828747,1.5049660791681714,0.006667207301691956,2749.276,1.5150000000000001,1,565174,0.010043134301712664,1.5049568656982875,0.006673370201246753,119.481,1.5150000000000001,1,753543,0.0100372403045621,1.504962759695438,0.006669427691747904,98.376,1.5150000000000001,1,324565,0.011684988331871704,1.5033150116681284,0.007772814241311707,1246.153,1.5150000000000001,1,324499,0.014582115449936595,1.5004178845500635,0.009718702769468382,3278.154,1.5150000000000001,1,753543,0.0100372403045621,1.504962759695438,0.006669427691747904,88.113
7,55,35.321,1.4350000000000003,1,149076,0.010000436589288508,1.4249995634107118,0.007017852388215921,44.295,1.4350000000000003,1,451896,0.010000172647234518,1.4249998273527658,0.007017665865835172,265.856,1.4350000000000003,1,149076,0.010000436589288508,1.4249995634107118,0.007017852388215921,2226.866,1.4350000000000003,1,451896,0.010000172647234518,1.4249998273527658,0.007017665865835172,54.732,1.4350000000000003,1,318800,0.012457152408632766,1.4225428475913675,0.008756961120520951,1608.243,1.4350000000000003,1,318891,0.012457152408605898,1.4225428475913944,0.008756961120501899,51.263,1.4350000000000003,1,478871,0.010000130634291171,1.424999869365709,0.00701763617616498,44.354,1.4350000000000003,1,190829,0.013007732026533825,1.4219922679734665,0.009147540615724741,743.666,1.4350000000000003,1,190829,0.013007732026533825,1.4219922679734665,0.009147540615724741,2147.339,1.4350000000000003,1,479019,0.010000164672834266,1.424999835327166,0.007017660230492817,35.321
8,55,5.412,1.0750000000000004,1,18050,0.01000089470925225,1.0649991052907481,0.009390519353086192,6.954,1.0750000000000004,1,76550,0.010000254271346432,1.064999745728654,0.009389912355804775,29.824,1.0750000000000004,1,18050,0.01000089470925225,1.0649991052907481,0.009390519353086192,396.476,1.0750000000000004,1,76550,0.010000254271346432,1.064999745728654,0.009389912355804775,7.903,1.0750000000000004,1,33598,0.0100002190508659,1.0649997809491345,0.009389878974391565,157.495,1.0750000000000004,1,33595,0.0100002190508659,1.0649997809491345,0.009389878974391565,7.654,1.0750000000000004,1,82129,0.010000060077023143,1.0649999399229773,0.009389728301530577,6.905,1.0750000000000004,1,22616,0.010000167885062528,1.0649998321149379,0.00938983048025803,94.574,1.0750000000000004,1,22616,0.010000167885062528,1.0649998321149379,0.00938983048025803,378.938,1.0750000000000004,1,82129,0.010000060077023143,1.0649999399229773,0.009389728301530577,5.412
9,55,21.037,1.3150000000000006,1,76670,0.010000049539888867,1.3049999504601117,0.00766287350153775,14.906,1.3150000000000006,1,255140,0.010000150916254835,1.3049998490837458,0.00766295177986116,157.024,1.3150000000000006,1,76670,0.010000049539888867,1.3049999504601117,0.00766287350153775,1300.332,1.3150000000000006,1,253816,0.010000133988938398,1.3049998660110622,0.007662938709339016,18.345,1.3150000000000006,1,153280,0.01165673415558599,1.3033432658444146,0.008943717638371948,722.897,1.3150000000000006,1,153265,0.011656734155336412,1.3033432658446642,0.008943717638178745,17.445,1.3150000000000006,1,274391,0.010000099259135808,1.3049999007408648,0.007662911892528595,15.127,1.3150000000000006,1,97425,0.01252489621634889,1.3024751037836517,0.0096162269666149,383.523,1.3150000000000006,1,97425,0.012524896216348447,1.3024751037836522,0.009616226966614554,1246.508,1.3150000000000006,1,274391,0.010000099259135808,1.3049999007408648,0.007662911892528595,14.906
10,55,51.742,1.4350000000000005,1,149076,0.010000436589288508,1.424999563410712,0.00701785238821592,43.267,1.4350000000000005,1,451896,0.010000172647234518,1.424999827352766,0.007017665865835171,309.652,1.4350000000000005,1,149076,0.010000436589288508,1.424999563410712,0.00701785238821592,2241.979,1.4350000000000005,1,451896,0.010000172647234518,1.424999827352766,0.007017665865835171,54.819,1.4350000000000005,1,318800,0.012457152408632322,1.4225428475913682,0.008756961120520634,1478.935,1.4350000000000005,1,318891,0.012457152408608785,1.4225428475913917,0.008756961120503944,42.438,1.4350000000000005,1,478871,0.010000130634291171,1.4249998693657093,0.007017636176164979,44.572,1.4350000000000005,1,190829,0.013007732026534713,1.4219922679734658,0.009147540615725371,749.412,1.4350000000000005,1,190829,0.013007732026534713,1.4219922679734658,0.009147540615725371,2146.332,1.4350000000000005,1,479019,0.010000164672834266,1.4249998353271662,0.007017660230492816,42.438
1,56,155.303,1.5600000000000005,1,316353,0.015092219532903739,1.5449077804670968,0.009769009984751754,148.967,1.5600000000000005,1,935930,0.015155534502052648,1.5448444654979478,0.00981039505304994,647.304,1.5600000000000005,1,316353,0.015092219532903739,1.5449077804670968,0.009769009984751754,3600.024,1.5600000000000005,0,757752,0.06004127327415665,1.4999587267258438,0.04002861692415803,194.657,1.5600000000000005,1,715914,0.015199740542902518,1.544800259457098,0.009839291811256097,3226.362,1.5600000000000005,1,715898,0.015199740542902296,1.5448002594570982,0.009839291811255951,142.08,1.5600000000000005,1,937975,0.015137451896007903,1.5448625481039926,0.00979857522896524,156.204,1.5600000000000005,1,402013,0.015188948479072817,1.5448110515209277,0.009832237064926934,1550.235,1.5600000000000005,1,401562,0.015421545802253522,1.544578454197747,0.009984307213623192,3600.019,1.5600000000000005,0,853030,0.04009922270958022,1.5199007772904203,0.02638278979044046,142.08
2,56,119.136,1.5199999999999998,1,254403,0.015014691314633177,1.5049853086853666,0.009976636468131902,111.725,1.5199999999999998,1,757732,0.01503824051955105,1.5049617594804487,0.00999244028947462,550.197,1.5199999999999998,1,254403,0.015014691314633177,1.5049853086853666,0.009976636468131902,3571.875,1.5199999999999998,1,757732,0.015038240519550605,1.5049617594804492,0.009992440289474323,146.466,1.5199999999999998,1,559365,0.01501104747642601,1.5049889525235738,0.009974191140244186,2571.882,1.5199999999999998,1,559370,0.015011047476423789,1.504988952523576,0.009974191140242696,111.984,1.5199999999999998,1,773837,0.015039310521003602,1.5049606894789962,0.009993158376920845,115.426,1.5199999999999998,1,324643,0.01502329550256154,1.5049767044974383,0.009982410663013098,1273.908,1.5199999999999998,1,324262,0.015022279154707663,1.5049777208452921,0.009981728597464011,3391.215,1.5199999999999998,1,773757,0.015039288461503597,1.5049607115384962,0.009993143572584818,111.725
3,56,16.239,1.360000000000001,1,100417,0.01000029786328005,1.349999702136721,0.007407629681289568,19.06,1.360000000000001,1,325160,0.010000064435770728,1.3499999355642303,0.007407455491167277,143.233,1.360000000000001,1,100417,0.01000029786328005,1.349999702136721,0.007407629681289568,1622.626,1.360000000000001,1,325160,0.010000064435770728,1.3499999355642303,0.007407455491167277,24.94,1.360000000000001,1,203040,0.010000189368052581,1.3499998106319484,0.007407548719115296,920.805,1.360000000000001,1,203029,0.010000189368052581,1.3499998106319484,0.007407548719115296,19.998,1.360000000000001,1,353609,0.010000219921162401,1.3499997800788386,0.007407571518699358,20.35,1.360000000000001,1,127875,0.010000123942535133,1.3499998760574659,0.007407499896769957,497.157,1.360000000000001,1,127875,0.010000123942535133,1.3499998760574659,0.007407499896769957,1566.466,1.360000000000001,1,353609,0.010000219921162401,1.3499997800788386,0.007407571518699358,16.239
4,56,13.186,1.3200000000000005,1,76911,0.010000928420378585,1.309999071579622,0.007634301914671798,15.026,1.3200000000000005,1,262000,0.010000079487360924,1.3099999205126396,0.007633648926824067,123.166,1.3200000000000005,1,76911,0.010000928420378585,1.309999071579622,0.007634301914671798,1363.268,1.3200000000000005,1,262000,0.010000079487360924,1.3099999205126396,0.007633648926824067,19.883,1.3200000000000005,1,152956,0.010000190486637806,1.3099998095133627,0.007633734305925331,720.964,1.3200000000000005,1,152959,0.010000190486637806,1.3099998095133627,0.007633734305925331,16.301,1.3200000000000005,1,283509,0.01000000275827917,1.3099999972417213,0.0076335899078891125,16.384,1.3200000000000005,1,97632,0.010000336887483918,1.3099996631125166,0.0076338469154438125,388.166,1.3200000000000005,1,97632,0.010000336887483918,1.3099996631125166,0.0076338469154438125,1637.87,1.3200000000000005,1,283509,0.01000000275827917,1.3099999972417213,0.0076335899078891125,13.186
5,56,129.602,1.5600000000000012,1,316353,0.015092219532904627,1.5449077804670965,0.00976900998475233,149.4,1.5600000000000012,1,935930,0.01515553450205398,1.5448444654979472,0.009810395053050808,586.681,1.5600000000000012,1,316353,0.015092219532904627,1.5449077804670965,0.00976900998475233,3600.025,1.5600000000000012,0,750234,0.06007641184695012,1.499923588153051,0.04005298157949894,194.664,1.5600000000000012,1,715914,0.015199740542901852,1.5448002594570993,0.009839291811255656,3258.318,1.5600000000000012,1,715898,0.01519974054290163,1.5448002594570995,0.009839291811255512,142.603,1.5600000000000012,1,937975,0.015137451896009457,1.5448625481039917,0.00979857522896625,156.645,1.5600000000000012,1,402013,0.015188948479075481,1.5448110515209257,0.009832237064928672,1526.351,1.5600000000000012,1,401562,0.015421545802254633,1.5445784541977465,0.009984307213623913,3600.024,1.5600000000000012,0,638236,0.0853136102698544,1.4746863897301468,0.05785203611017659,129.602
6,56,60.904,1.4800000000000004,1,196013,0.011384462974215692,1.4686155370257847,0.007751833401729709,69.888,1.4800000000000004,1,592048,0.011669739786386524,1.468330260213614,0.007947626022968975,330.591,1.4800000000000004,1,196013,0.011384462974215692,1.4686155370257847,0.007751833401729709,2370.093,1.4800000000000004,1,592048,0.011669739786386524,1.468330260213614,0.007947626022968975,92.766,1.4800000000000004,1,426831,0.014462146072392379,1.465537853927608,0.0098681491123782,1952.278,1.4800000000000004,1,426829,0.014462146072394155,1.4655378539276063,0.009868149112379425,70.942,1.4800000000000004,1,617639,0.01044179584278715,1.4695582041572133,0.007105397944258685,74.954,1.4800000000000004,1,249517,0.013035360312012356,1.466964639687988,0.008885940369213587,963.727,1.4800000000000004,1,249813,0.013035360312012356,1.466964639687988,0.008885940369213587,3315.338,1.4800000000000004,1,616887,0.01044179584278715,1.4695582041572133,0.007105397944258685,60.904
7,56,22.937,1.4000000000000006,1,127369,0.01007261660430836,1.3899273833956922,0.007246865357598924,47.819,1.4000000000000006,1,399734,0.010209812206956492,1.389790187793044,0.007346297517878902,238.053,1.4000000000000006,1,127369,0.01007261660430836,1.3899273833956922,0.007246865357598924,1610.049,1.4000000000000006,1,399734,0.010209812206878333,1.3897901877931222,0.00734629751782225,35.464,1.4000000000000006,1,267387,0.01016928506695236,1.3898307149330482,0.007316923534419256,1234.043,1.4000000000000006,1,267493,0.010169285066951028,1.3898307149330495,0.00731692353441829,28.806,1.4000000000000006,1,430791,0.010156905424232754,1.3898430945757678,0.007307951137702362,29.831,1.4000000000000006,1,164040,0.010165409552961302,1.3898345904470393,0.007314114659998212,630.568,1.4000000000000006,1,164040,0.010165409552961302,1.3898345904470393,0.007314114659998212,2409.9,1.4000000000000006,1,430791,0.010156905424232754,1.3898430945757678,0.007307951137702362,22.937
